ID,h2o,catboost,xgb,final_prediction
70,0,0,0,0
1282,1,1,1,1
3273,1,1,0,1
2741,1,1,1,1
2481,0,0,0,0
1920,1,1,0,1
4328,0,1,1,1
5874,0,0,0,0
7174,0,0,0,0
5842,0,0,0,0
7127,1,1,1,1
4224,1,0,0,0
5975,1,1,1,1
4200,1,0,0,0
2806,1,1,1,1
6458,0,0,0,0
5571,1,1,1,1
1777,1,1,1,1
4184,1,1,0,1
457,1,1,1,1
4303,1,1,1,1
6999,1,1,1,1
3876,0,1,0,0
2353,0,1,1,1
273,1,1,1,1
774,1,1,1,1
7347,0,0,0,0
5582,1,1,1,1
1414,1,1,0,1
1116,1,0,0,0
766,0,0,0,0
5340,0,1,1,1
913,0,0,0,0
5937,1,1,1,1
2363,1,1,1,1
504,1,1,0,1
5556,1,1,1,1
2417,0,0,0,0
1020,1,1,1,1
4678,0,1,0,0
6671,1,0,1,1
6643,1,1,1,1
6018,0,0,0,0
5367,0,0,0,0
3141,0,0,0,0
2362,1,1,1,1
2180,1,1,1,1
4566,0,1,0,0
1587,1,1,1,1
4855,0,0,0,0
1927,1,1,1,1
2845,0,1,1,1
4657,0,1,0,0
4284,0,1,1,1
6061,0,0,0,0
6587,0,0,0,0
3330,1,1,1,1
4600,1,0,0,0
1778,1,0,0,0
5635,0,0,0,0
2528,0,0,0,0
5670,0,0,0,0
7532,0,0,0,0
6469,1,0,0,0
1418,1,1,1,1
4765,1,1,1,1
2058,1,1,1,1
5832,1,0,0,0
4196,1,1,0,1
506,1,1,1,1
4274,0,0,0,0
2866,1,0,0,0
3214,1,1,1,1
2755,0,1,0,0
64,1,1,1,1
4425,1,1,1,1
6341,0,0,0,0
408,0,1,1,1
1798,1,1,1,1
5350,1,1,0,1
4559,0,0,0,0
1246,1,0,1,1
5322,0,1,0,0
4823,1,1,0,1
1953,1,0,0,0
1908,1,1,0,1
3797,1,1,1,1
2942,0,0,0,0
4087,1,0,0,0
5455,0,0,0,0
3388,1,1,1,1
4122,1,1,0,1
4498,1,1,1,1
1370,1,1,1,1
2289,0,0,0,0
769,1,1,1,1
7423,1,1,1,1
1968,0,1,1,1
1906,1,0,1,1
3685,1,1,1,1
6557,0,0,0,0
7439,0,0,0,0
1498,1,1,1,1
7323,0,1,0,0
4739,1,1,1,1
2729,1,1,1,1
887,0,1,0,0
2341,1,1,1,1
3285,1,1,1,1
5516,1,1,1,1
1410,1,1,1,1
2922,0,0,0,0
7210,0,0,0,0
1743,1,1,0,1
3468,1,1,0,1
6110,1,1,1,1
4374,1,1,0,1
956,1,0,1,1
7294,0,0,1,0
4339,1,0,0,0
2373,0,1,0,0
1582,1,1,1,1
6022,0,0,0,0
2977,1,1,1,1
1977,1,1,1,1
756,0,0,0,0
7146,0,0,0,0
6524,0,1,0,0
6907,1,0,0,0
3850,0,1,0,0
6980,0,0,0,0
1462,1,1,1,1
4436,0,1,0,0
848,1,1,1,1
2082,1,1,1,1
3734,1,0,0,0
4676,1,1,1,1
1505,1,1,1,1
1649,1,1,1,1
3659,1,1,0,1
5157,0,0,0,0
5844,0,0,0,0
5876,0,1,0,0
4343,1,1,0,1
3632,0,0,0,0
5069,0,0,0,0
2425,1,1,1,1
3398,1,1,0,1
5817,0,0,0,0
3403,1,1,1,1
5209,0,1,0,0
1496,1,1,1,1
6799,1,1,1,1
6781,1,0,0,0
4309,0,0,0,0
3939,1,1,1,1
338,1,1,1,1
7597,0,0,0,0
3727,0,1,0,0
2485,0,0,1,0
5222,0,0,0,0
4701,1,0,0,0
1672,1,0,0,0
560,0,0,0,0
4839,1,0,0,0
6961,0,0,0,0
904,0,1,1,1
3126,1,1,1,1
4297,0,0,0,0
6738,0,0,0,0
3520,1,1,1,1
6116,0,0,0,0
4554,1,1,1,1
2403,1,1,1,1
4970,0,0,1,0
5863,0,0,0,0
190,1,1,1,1
5025,0,0,0,0
1933,1,1,1,1
4530,0,0,0,0
1703,0,0,0,0
2473,1,1,1,1
5980,1,1,1,1
3291,1,1,0,1
5932,0,0,0,0
7333,1,0,0,0
4512,0,0,0,0
5326,1,1,1,1
2116,1,1,1,1
6084,0,0,0,0
2994,1,0,1,1
41,1,1,1,1
2959,1,1,0,1
3668,1,1,0,1
2179,1,1,1,1
6786,0,0,0,0
2643,1,1,1,1
3569,1,1,0,1
6518,0,0,0,0
4509,0,0,0,0
2567,0,1,0,0
6726,0,0,0,0
5108,0,1,1,1
2843,1,1,1,1
1364,1,1,1,1
6124,0,0,0,0
1664,1,1,0,1
4996,1,1,1,1
1655,1,1,1,1
5754,1,1,0,1
5897,0,0,0,0
3808,1,0,0,0
5070,1,1,0,1
4541,1,0,0,0
2157,1,1,1,1
1962,1,1,1,1
2948,1,0,0,0
6756,1,0,0,0
4282,1,1,0,1
7504,0,0,0,0
5186,0,1,1,1
4474,1,0,0,0
7225,1,0,0,0
1289,1,1,0,1
1753,0,0,0,0
1023,1,1,1,1
6117,0,0,0,0
4165,0,1,1,1
7488,0,1,1,1
3,1,1,1,1
444,1,1,1,1
1344,1,1,1,1
6826,1,1,1,1
5889,1,1,1,1
4627,0,0,0,0
4997,0,0,0,0
5880,1,1,1,1
3320,1,1,1,1
2139,0,0,1,0
5448,0,0,0,0
7470,1,0,0,0
1979,1,1,1,1
791,0,0,0,0
6166,1,0,1,1
1323,1,1,0,1
930,1,0,0,0
6986,0,0,0,0
3792,0,0,0,0
6529,1,1,0,1
5868,0,0,1,0
7180,0,0,0,0
6130,0,0,0,0
5900,0,0,0,0
4152,0,0,0,0
1593,1,1,1,1
2662,0,1,0,0
4522,0,0,0,0
2925,1,1,1,1
3402,1,1,0,1
7354,0,0,0,0
5587,0,0,0,0
6034,0,0,0,0
2086,1,1,1,1
4099,1,1,0,1
6744,0,0,0,0
2486,0,1,1,1
5314,1,1,1,1
1934,1,1,1,1
802,0,1,1,1
938,1,1,1,1
1959,0,1,1,1
1670,1,1,1,1
4928,1,1,0,1
7417,0,0,0,0
1044,1,0,0,0
2200,1,1,0,1
5188,0,0,0,0
779,1,0,0,0
4539,0,0,0,0
366,1,1,1,1
1773,1,1,1,1
5419,0,0,0,0
7197,0,0,0,0
4172,1,1,1,1
933,1,1,1,1
1885,1,1,1,1
3806,0,0,0,0
4894,1,1,0,1
3070,1,1,0,1
5543,0,0,0,0
4754,0,0,0,0
7271,1,1,0,1
136,1,1,1,1
3643,0,0,0,0
192,1,1,1,1
5736,0,1,0,0
5881,1,1,1,1
3967,0,0,0,0
2970,1,1,0,1
2264,0,0,1,0
2131,0,0,0,0
2383,0,0,0,0
277,0,0,0,0
5219,1,1,1,1
6065,0,0,0,0
2857,1,1,1,1
4913,1,1,1,1
5178,1,1,0,1
2736,1,1,1,1
1551,1,1,1,1
753,1,1,1,1
4635,1,1,0,1
3732,1,1,1,1
6510,0,0,0,0
1114,1,1,1,1
7281,0,0,0,0
3099,1,1,0,1
6327,0,0,0,0
5514,0,0,0,0
2307,1,1,1,1
6785,0,0,0,0
1609,0,1,0,0
1888,1,0,1,1
220,1,1,0,1
304,1,1,1,1
6031,0,0,0,0
1275,1,1,1,1
6198,0,0,0,0
5210,0,1,0,0
7548,1,0,0,0
4395,0,0,0,0
470,1,1,1,1
4829,0,0,0,0
20,1,1,1,1
2398,1,1,1,1
3597,0,0,0,0
3431,1,1,1,1
3459,1,1,1,1
4053,1,1,1,1
3313,1,1,1,1
3364,1,1,1,1
1048,1,1,0,1
1838,1,1,1,1
5994,1,1,0,1
7437,1,0,1,1
267,1,1,0,1
3140,1,1,1,1
54,1,0,0,0
7394,0,0,0,0
5238,0,0,0,0
2821,0,0,0,0
6599,0,0,0,0
1401,1,1,1,1
3048,1,1,1,1
121,1,0,0,0
4162,0,0,0,0
5495,0,1,1,1
1846,1,1,0,1
4422,0,0,0,0
4503,0,0,0,0
7454,0,0,0,0
1813,1,1,1,1
2789,1,0,0,0
5320,0,0,0,0
1313,1,1,1,1
7194,1,0,0,0
4544,0,0,0,0
2522,1,1,1,1
3125,0,0,0,0
5840,0,0,0,0
3521,0,0,0,0
5666,1,0,1,1
1126,1,1,1,1
820,0,0,0,0
2976,1,1,1,1
1417,1,1,1,1
782,1,0,0,0
6354,0,0,0,0
2891,1,1,1,1
3080,1,1,1,1
5149,0,0,0,0
1296,1,0,0,0
4831,1,1,0,1
3045,1,1,0,1
4042,1,1,1,1
2937,1,1,0,1
7168,1,1,0,1
3557,1,1,1,1
5165,1,1,0,1
3337,1,1,1,1
6342,0,0,1,0
5482,0,0,0,0
4860,1,1,1,1
2240,0,0,1,0
6915,0,0,0,0
6778,1,1,0,1
2416,1,1,0,1
3949,1,0,0,0
4638,0,0,0,0
342,0,0,0,0
4673,1,1,1,1
1249,1,0,0,0
7567,0,0,0,0
5392,0,0,0,0
3885,1,0,0,0
1860,1,1,0,1
5031,0,0,0,0
1046,1,1,1,1
1184,1,1,1,1
952,1,1,1,1
5983,1,1,0,1
3953,1,1,1,1
4416,1,0,1,1
6630,0,0,0,0
6078,0,0,0,0
4995,1,1,1,1
5346,0,0,0,0
1232,1,1,1,1
664,1,1,1,1
2479,1,1,1,1
5218,0,0,0,0
672,1,1,0,1
1849,1,1,1,1
6362,1,1,1,1
6035,0,0,0,0
950,1,1,1,1
3710,1,1,1,1
4793,1,1,1,1
7147,0,0,0,0
994,0,1,1,1
5630,0,1,1,1
1190,0,1,0,0
4844,1,0,0,0
1352,1,0,0,0
5530,0,0,0,0
4418,0,1,0,0
2688,1,0,1,1
1679,1,1,1,1
2298,0,0,0,0
7218,0,0,0,0
3742,1,0,0,0
1130,0,0,0,0
3103,0,1,1,1
4819,0,0,0,0
6276,0,0,0,0
3105,1,1,1,1
5397,0,0,0,0
5970,1,1,0,1
2590,1,1,0,1
4002,1,1,1,1
6119,0,0,1,0
1901,1,1,1,1
5266,0,0,0,0
3145,1,1,1,1
2188,0,1,0,0
5166,0,0,0,0
806,1,1,1,1
213,1,1,0,1
1291,1,1,1,1
2743,1,0,0,0
2272,1,1,0,1
1855,1,0,0,0
5798,0,0,0,0
7377,0,0,0,0
205,1,0,0,0
550,1,1,1,1
2007,0,1,0,0
3219,1,1,1,1
7192,0,0,0,0
5060,1,0,0,0
2668,1,1,1,1
3110,1,1,0,1
3301,0,0,0,0
4911,1,1,1,1
1882,1,1,1,1
6290,1,0,0,0
3409,1,1,0,1
5407,1,1,1,1
2552,1,1,1,1
7246,1,1,0,1
2093,1,1,1,1
359,1,1,0,1
884,0,0,0,0
6771,0,0,0,0
86,1,1,1,1
7029,0,0,0,0
2999,1,1,1,1
695,1,1,1,1
5794,1,1,0,1
1378,1,1,0,1
3002,1,1,1,1
3029,1,1,1,1
2095,1,1,0,1
5950,0,0,0,0
5008,0,1,0,0
2178,1,1,1,1
3733,0,1,0,0
3681,1,1,1,1
3205,1,1,1,1
4346,0,0,0,0
4341,1,1,0,1
6424,0,0,0,0
1710,0,0,0,0
5176,0,0,0,0
3821,0,1,1,1
879,1,0,0,0
658,1,1,1,1
5804,0,0,0,0
4421,1,0,0,0
4227,1,1,1,1
6359,1,0,1,1
3369,1,1,1,1
2279,1,1,1,1
5177,0,1,0,0
6140,0,0,0,0
2767,1,1,1,1
471,0,0,0,0
3158,0,0,0,0
2900,0,0,0,0
3627,1,1,1,1
509,1,1,0,1
2129,1,1,1,1
2339,1,1,0,1
427,0,0,0,0
7313,0,0,0,0
2012,1,1,1,1
703,1,0,0,0
2258,0,0,0,0
6858,1,1,1,1
6540,1,1,1,1
1234,1,1,1,1
7604,0,0,0,0
7160,0,0,0,0
6296,0,0,0,0
4296,1,0,0,0
6943,0,0,0,0
2186,1,0,0,0
7453,0,0,0,0
2585,1,0,0,0
5775,0,0,0,0
364,1,1,1,1
3698,1,0,1,1
2886,1,0,0,0
5752,1,1,0,1
2443,1,1,1,1
6277,0,0,0,0
7044,0,0,0,0
326,1,1,1,1
3547,1,1,0,1
3873,0,0,0,0
6346,1,1,0,1
4670,1,1,1,1
7374,0,0,0,0
1512,1,1,1,1
6908,1,1,1,1
3610,1,1,1,1
7144,0,0,0,0
3553,1,1,0,1
871,1,1,1,1
2875,1,0,0,0
3920,1,1,1,1
3897,1,1,0,1
6958,0,0,0,0
1481,1,1,1,1
3646,0,0,0,0
1191,1,1,0,1
2190,1,1,1,1
4700,0,1,0,0
521,1,0,0,0
4483,0,1,0,0
2639,1,1,1,1
1024,1,1,1,1
7111,0,0,0,0
6258,0,0,0,0
6218,1,0,1,1
132,1,1,0,1
7040,0,0,0,0
7363,0,0,0,0
2812,0,0,0,0
1216,1,1,1,1
282,1,1,1,1
583,1,0,0,0
3514,1,0,0,0
1745,1,1,1,1
1731,1,1,1,1
775,1,1,1,1
5837,0,0,0,0
4602,0,0,0,0
4082,0,1,0,0
3239,0,0,0,0
5882,0,0,0,0
2872,1,0,1,1
3856,1,1,0,1
4692,0,0,0,0
2505,0,0,0,0
3372,1,1,1,1
4922,1,1,1,1
2282,1,1,1,1
6225,0,0,0,0
4083,1,1,1,1
6233,0,0,0,0
4954,0,0,0,0
325,1,1,1,1
6929,1,1,1,1
5109,1,1,0,1
3592,1,1,1,1
2246,1,1,1,1
3591,0,1,0,0
491,1,1,1,1
7264,1,1,1,1
2687,0,0,0,0
4292,0,0,0,0
1578,1,1,1,1
1205,1,1,1,1
3607,1,1,0,1
6365,0,0,0,0
1074,0,1,1,1
1956,1,1,1,1
4438,0,0,0,0
5609,0,0,0,0
3077,1,1,1,1
790,1,1,1,1
4636,0,0,0,0
6485,1,1,1,1
6877,0,0,0,0
6874,0,0,0,0
2771,1,1,1,1
5718,0,1,1,1
4470,1,1,1,1
5965,0,0,0,0
4429,1,1,1,1
2971,1,1,0,1
1543,1,1,1,1
3898,1,1,1,1
4361,0,0,0,0
4034,1,1,1,1
7549,0,0,0,0
462,1,0,0,0
5603,1,1,1,1
1891,1,1,1,1
5895,0,0,0,0
1603,1,1,1,1
5464,0,0,0,0
2629,1,0,0,0
1487,1,1,0,1
1806,1,0,0,0
4371,0,1,0,0
546,1,1,1,1
371,1,1,1,1
2294,1,1,0,1
2006,1,1,1,1
4304,1,1,0,1
2859,1,1,1,1
1692,1,1,1,1
859,0,0,0,0
3438,1,1,1,1
6672,1,1,0,1
6301,1,1,1,1
6154,0,0,0,0
7089,0,0,0,0
6866,1,1,0,1
6743,0,0,0,0
2658,1,1,0,1
1572,0,0,0,0
422,1,1,1,1
1433,1,1,1,1
3774,0,1,1,1
5724,0,0,0,0
2610,1,1,0,1
1852,1,1,1,1
799,1,1,0,1
6181,0,0,0,0
6239,1,1,1,1
6315,0,1,1,1
4786,0,0,0,0
4774,0,0,0,0
4535,0,0,0,0
4564,0,0,0,0
1425,1,1,1,1
2436,1,1,0,1
3611,1,1,1,1
7579,1,0,0,0
5812,0,0,0,0
6859,0,0,0,0
3293,1,1,1,1
4543,0,0,0,0
4151,1,1,0,1
834,1,1,1,1
5626,0,0,0,0
1277,1,1,1,1
7493,0,1,1,1
1809,1,1,1,1
6837,0,0,0,0
2103,1,0,0,0
6113,1,1,0,1
2447,1,1,1,1
4847,0,0,0,0
4607,0,1,0,0
3548,1,1,1,1
984,1,0,0,0
2280,1,1,1,1
1396,1,1,0,1
1109,1,1,1,1
611,1,0,1,1
5059,0,0,0,0
6295,0,0,0,0
1099,1,1,1,1
1483,1,1,0,1
4050,1,1,1,1
6128,0,0,1,0
6289,1,1,1,1
4973,0,0,0,0
6089,1,1,1,1
976,1,1,1,1
3072,1,1,1,1
2135,1,1,1,1
74,1,1,1,1
5858,0,1,1,1
6,1,1,0,1
1535,1,1,0,1
2909,0,1,1,1
2428,0,1,0,0
739,1,1,1,1
2484,1,1,1,1
6398,0,0,0,0
1877,1,0,0,0
7490,1,0,0,0
7038,0,1,0,0
6474,0,0,0,0
3312,0,0,0,0
634,1,1,1,1
1923,1,1,1,1
405,1,1,0,1
728,0,1,0,0
6713,1,1,1,1
4940,1,1,1,1
5713,0,0,0,0
7373,1,1,1,1
3747,1,1,0,1
7285,1,1,0,1
253,1,1,0,1
918,0,1,1,1
5271,0,0,0,0
7522,0,0,0,0
517,1,1,1,1
4477,0,1,0,0
7378,1,0,0,0
2679,0,0,0,0
7222,1,1,0,1
3973,1,1,1,1
3601,1,1,1,1
3743,1,1,0,1
1006,1,1,0,1
4694,1,1,1,1
4547,1,1,0,1
3563,0,1,0,0
3637,1,0,0,0
7619,1,1,0,1
2078,1,1,1,1
186,1,1,1,1
772,0,0,0,0
514,1,1,0,1
476,1,1,1,1
4220,0,0,0,0
4412,1,1,1,1
1339,1,1,1,1
2261,1,1,1,1
4990,0,0,0,0
6179,1,1,1,1
2418,1,1,0,1
5328,0,0,0,0
983,1,1,0,1
4219,1,1,0,1
811,1,1,1,1
2983,0,0,0,0
1376,1,1,1,1
3168,1,1,1,1
6396,0,0,0,0
4514,0,0,0,0
5653,0,0,0,0
7223,0,0,0,0
2509,1,1,1,1
3913,1,1,1,1
7544,0,0,0,0
1673,1,1,1,1
313,1,1,1,1
4630,0,0,0,0
6210,1,1,0,1
1793,1,1,1,1
3511,0,1,0,0
1893,1,1,1,1
4378,0,0,0,0
4761,1,1,1,1
4109,0,1,0,0
6010,0,0,0,0
2638,1,1,0,1
6406,1,0,0,0
1637,1,1,1,1
1012,1,1,1,1
2320,1,1,1,1
6722,0,0,0,0
3333,1,0,0,0
761,0,1,0,0
3019,1,1,1,1
7492,0,0,0,0
920,0,1,0,0
523,1,1,1,1
1913,1,1,0,1
2329,0,1,0,0
1244,1,1,1,1
3494,1,1,1,1
6939,1,1,1,1
174,1,1,1,1
5740,1,1,1,1
4590,1,1,1,1
2752,0,1,1,1
5637,1,0,0,0
244,1,0,0,0
6407,0,0,0,0
5295,0,0,0,0
924,1,1,1,1
5345,0,0,0,0
2143,1,1,1,1
2874,1,1,0,1
5706,0,0,0,0
3357,0,1,0,0
6684,1,1,0,1
4616,0,0,0,0
5749,1,0,0,0
3303,1,1,1,1
865,0,0,1,0
609,1,1,1,1
2920,1,1,1,1
439,1,1,1,1
4279,0,1,1,1
5920,0,0,0,0
2159,1,1,1,1
1681,1,1,1,1
5991,1,0,1,1
6508,0,0,0,0
631,0,1,0,0
6214,1,1,0,1
1491,1,0,0,0
3928,1,0,0,0
4317,0,0,0,0
1974,1,0,0,0
660,1,1,1,1
5697,0,0,0,0
2464,0,0,0,0
3073,1,0,0,0
7565,1,0,1,1
5462,0,1,1,1
4759,1,1,0,1
5936,0,0,0,0
5251,0,0,0,0
764,1,1,1,1
1435,1,1,1,1
135,1,1,1,1
822,1,1,1,1
6456,0,0,0,0
7416,1,1,0,1
4757,0,0,0,0
1354,0,0,0,0
6762,0,0,0,0
6372,0,0,0,0
6470,0,0,1,0
1732,1,1,1,1
5597,0,0,0,0
730,1,1,0,1
322,0,0,0,0
566,1,1,0,1
468,1,0,0,0
5833,0,0,0,0
2499,1,1,1,1
7289,1,0,0,0
6036,1,0,1,1
4709,1,1,1,1
5683,1,1,0,1
7231,0,0,0,0
2074,1,1,1,1
1268,1,1,0,1
6480,1,0,1,1
7359,1,0,0,0
3522,1,1,0,1
5887,0,0,0,0
306,1,1,1,1
3523,1,1,0,1
3321,1,1,1,1
6347,1,1,0,1
2321,1,1,1,1
1707,1,1,1,1
6674,1,1,1,1
2013,1,0,0,0
7056,0,0,0,0
262,0,1,0,0
1958,1,1,1,1
2623,0,1,0,0
5353,0,0,0,0
4204,1,1,0,1
1183,1,1,1,1
1225,1,1,1,1
3191,1,1,1,1
7337,0,1,1,1
3935,1,1,1,1
4846,1,1,0,1
396,1,1,0,1
2817,0,0,0,0
905,1,0,0,0
2390,0,0,0,0
1351,0,0,0,0
7317,0,0,0,0
437,1,0,1,1
3936,0,1,0,0
2260,1,1,0,1
4018,1,1,1,1
803,1,1,1,1
830,1,1,1,1
6776,1,1,0,1
2215,1,1,1,1
3211,1,1,1,1
126,0,0,1,0
7134,1,1,1,1
3311,1,1,1,1
1579,1,1,1,1
386,0,1,1,1
5787,1,1,1,1
785,1,1,1,1
176,1,1,0,1
292,0,0,0,0
1280,1,0,1,1
4927,0,0,0,0
293,1,1,0,1
2265,1,1,1,1
828,1,1,1,1
5289,0,1,1,1
1031,1,0,1,1
946,1,1,1,1
3270,1,1,0,1
4331,0,0,0,0
2565,1,0,0,0
3406,1,1,0,1
6205,1,1,1,1
5085,1,1,1,1
4352,0,1,0,0
605,1,0,0,0
4570,0,0,0,0
1557,1,1,1,1
2476,1,1,1,1
7110,1,1,1,1
2596,1,0,0,0
6451,0,1,0,0
489,1,1,0,1
5537,0,1,0,0
6796,0,0,0,0
7314,1,1,1,1
1399,0,0,0,0
3859,1,0,0,0
1784,1,1,1,1
1950,0,1,1,1
5949,0,0,0,0
4766,0,0,0,0
2429,1,1,1,1
7187,1,1,0,1
2721,1,1,0,1
7324,0,0,0,0
3857,1,0,0,0
7139,1,0,0,0
1231,1,1,1,1
3345,1,1,0,1
3448,0,0,0,0
1663,1,1,0,1
3089,0,0,0,0
6201,0,1,0,0
2719,1,1,0,1
2605,0,1,0,0
99,1,1,0,1
6627,0,0,0,0
4809,1,1,0,1
4016,1,1,1,1
345,1,1,1,1
4253,1,1,1,1
498,1,0,0,0
281,1,1,1,1
5076,0,0,0,0
3041,1,1,0,1
2187,0,0,0,0
4451,0,0,0,0
6235,0,0,1,0
4084,0,1,0,0
2720,1,0,0,0
3190,1,1,0,1
5335,0,0,0,0
7102,0,0,0,0
2,1,1,0,1
6175,0,0,0,0
4424,1,1,1,1
2972,1,1,1,1
567,1,1,1,1
7087,0,1,0,0
7268,0,0,0,0
3977,1,1,0,1
1799,1,1,1,1
1145,1,1,1,1
1489,1,1,0,1
3206,1,1,1,1
5934,0,0,0,0
5853,0,0,0,0
4466,1,1,1,1
3549,0,1,0,0
1294,1,0,0,0
5145,1,1,1,1
1716,1,1,1,1
307,1,1,1,1
721,1,1,1,1
3277,1,1,0,1
6238,0,0,0,0
3924,1,0,0,0
3704,1,0,0,0
5132,0,0,0,0
5546,0,0,0,0
6395,0,0,0,0
3987,0,0,0,0
