tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,day_after,jumlah_promosi,day,month,year
1954,2.0,1.0,53300000.0,0.0,1.0,81.0,22253.0,48552.0,65748.57280513919,34391.0,3.0,1.0,1.0,0.0,789.0,0,27,2,2014
1971,3.0,2.0,167128873.0,0.0,0.0,37.0,100058.0,654391.7260273972,88576.0,110807.0,1.0,3.0,9.0,0.0,433.0,6,8,3,2013
1983,4.0,2.0,166606724.0,0.0,0.0,73.0,42264.0,304765.0,60438.0,52275.0,1.0,6.0,5.0,0.0,433.0,6,8,3,2013
1978,2.0,1.0,118914700.0,0.0,1.0,55.0,34925.0,179122.0,101958.0,65609.06236080178,2.0,9.0,6.0,0.0,567.0,3,20,7,2013
1968,4.0,2.0,76484000.0,1.0,1.0,61.0,0.0,6069.0,4046.0,0.0,2.0,0.0,4.0,0.0,756.0,0,25,1,2014
1983,2.0,1.0,110120983.0,1.0,1.0,47.0,9320.0,85109.0,0.0,0.0,4.0,0.0,6.0,0.0,572.0,0,25,7,2013
1977,2.0,0.0,325514244.0,0.0,0.0,18.0,4206.0,3350256.0,11245.0,7924.0,0.0,0.0,1.0,0.0,590.0,2,12,8,2013
1956,4.0,2.0,69285000.0,2.0,1.0,62.0,0.0,76874.0,12138.0,0.0,4.0,4.0,4.0,0.0,552.0,2,5,7,2013
1963,3.0,1.0,75668000.0,0.0,0.0,59.0,28322.0,374088.8282208589,76874.0,38437.0,2.0,3.0,2.0,0.0,494.0,1,8,5,2013
1956,4.0,2.0,158433000.0,1.0,2.0,25.0,12138.0,370209.0,16184.0,46529.0,12.0,9.0,5.0,0.0,455.0,0,30,3,2013
1961,2.0,0.0,152276450.0,0.0,0.0,20.0,118419.0,390780.0,114113.0,75835.0,2.0,9.0,4.0,0.0,576.0,4,29,7,2013
1973,3.0,1.0,165458484.0,0.0,0.0,60.0,282725.0,1520515.0,148755.0,125538.0,2.0,5.0,8.0,0.0,576.0,4,29,7,2013
1968,2.0,3.0,172329809.0,0.0,0.0,20.0,196777.0,774778.0,231114.0,287046.0,2.0,6.0,4.0,0.0,433.0,6,8,3,2013
1979,2.0,2.0,138817313.0,0.0,0.0,6.0,44506.0,931955.0,256516.0,60244.0,0.0,6.0,8.0,0.0,523.0,5,6,6,2013
1962,1.0,1.0,110928081.0,0.0,1.0,77.0,10634.0,46775.0,2815.0,1585.0,4.0,5.0,5.0,0.0,523.0,5,6,6,2013
1974,3.0,2.0,151599910.0,0.0,0.0,22.0,28441.0,514556.0,44208.0,25168.0,1.0,3.0,8.0,0.0,558.0,1,11,7,2013
1971,2.0,1.0,111202436.0,0.0,1.0,50.0,83817.0,382409.0,81305.0,235977.0,3.0,5.0,4.0,0.0,572.0,0,25,7,2013
1975,3.0,1.0,164601983.0,0.0,0.0,40.0,66647.0,565744.6,102878.0,121044.0,0.0,5.0,7.0,0.0,523.0,5,6,6,2013
1947,1.0,3.0,151115234.0,0.0,0.0,55.0,144766.0,1192829.0,258158.0,197764.0,2.0,7.0,10.0,0.0,558.0,1,11,7,2013
1980,3.0,2.0,105661000.0,0.0,0.0,77.0,32368.0,311542.0,139587.0,72828.0,0.0,6.0,5.0,0.0,893.0,0,11,6,2014
1958,2.0,2.0,118634453.0,0.0,1.0,11.0,13677.0,112716.0,14951.0,747.0,1.0,9.0,3.0,0.0,572.0,0,25,7,2013
1983,2.0,1.0,84414440.0,0.0,0.0,32.0,85187.0,322101.0,104424.0,72718.0,1.0,6.0,7.0,0.0,433.0,6,8,3,2013
1954,3.0,2.0,100020844.0,0.0,0.0,75.0,24486.0,236354.0,17838.0,579.0,4.0,9.0,2.0,0.0,572.0,0,25,7,2013
1964,3.0,1.0,95020110.0,0.0,1.0,76.0,14152.0,149547.0,16167.0,14152.0,5.0,5.0,4.0,0.0,572.0,0,25,7,2013
1958,2.0,3.0,170112112.0,0.0,0.0,69.0,108681.0,1798060.0,133865.0,202370.0,0.0,4.0,4.0,0.0,567.0,3,20,7,2013
1954,2.0,2.0,136676591.0,0.0,1.0,87.0,196142.0,458375.19469026546,122599.0,159239.0,3.0,11.0,5.0,0.0,567.0,3,20,7,2013
1959,3.0,2.0,165583000.0,0.0,0.0,43.0,291312.0,236691.0,449106.0,295358.0,0.0,3.0,9.0,0.0,456.0,2,31,3,2013
1966,2.0,2.0,187041788.0,0.0,0.0,31.0,166150.0,1632669.0,312792.0,145162.0,2.0,4.0,4.0,0.0,572.0,0,25,7,2013
1968,2.0,0.0,99416000.0,1.0,1.0,23.0,10115.0,109242.0,0.0,18207.0,6.0,7.0,2.0,0.0,311.0,1,6,11,2012
1962,2.0,0.0,152559603.0,0.0,0.0,11.0,131624.0,517937.8377823409,154939.0,47797.0,1.0,10.0,5.0,0.0,576.0,4,29,7,2013
1968,2.0,1.0,100686641.0,0.0,1.0,51.0,14524.0,63666.0,42277.0,18320.0,1.0,4.0,2.0,0.0,576.0,4,29,7,2013
1963,2.0,1.0,100590412.0,0.0,0.0,37.0,81662.0,322074.0,104473.0,73912.0,0.0,4.0,4.0,0.0,567.0,3,20,7,2013
1955,3.0,2.0,118505331.0,0.0,0.0,51.0,22599.0,232181.0,8930.0,26530.0,1.0,8.0,5.0,0.0,567.0,3,20,7,2013
1989,2.0,0.0,66130082.0,1.0,0.0,69.0,5984.0,22674.0,674.0,6153.0,0.0,3.0,4.0,0.0,572.0,0,25,7,2013
1962,3.0,0.0,96015401.0,0.0,1.0,85.0,7496.0,87307.0,19999.0,65609.06236080178,6.0,6.0,4.0,0.0,567.0,3,20,7,2013
1972,2.0,0.0,150691555.0,0.0,0.0,44.0,43367.0,962041.0,239127.0,300586.0,0.0,6.0,6.0,0.0,590.0,2,12,8,2013
1959,2.0,2.0,155631886.0,0.0,0.0,9.0,149206.0,784383.0,236771.0,155275.0,0.0,7.0,7.0,0.0,523.0,5,6,6,2013
1945,3.0,2.0,95801738.0,0.0,0.0,57.0,35153.0,337812.0,252334.0,73641.0,4.0,8.0,4.0,0.0,567.0,3,20,7,2013
1982,2.0,2.0,34735069.0,1.0,0.0,66.0,19423.0,16366.0,30862.0,21553.0,3.0,3.0,1.0,0.0,590.0,2,12,8,2013
1961,3.0,2.0,141683052.0,0.0,1.0,68.0,11584.0,115620.0,74338.0,14429.0,0.0,2.0,6.0,0.0,572.0,0,25,7,2013
1956,2.0,0.0,186517250.0,0.0,0.0,79.0,66727.0,930153.0,199478.0,166588.0,0.0,3.0,5.0,0.0,523.0,5,6,6,2013
1959,2.0,1.0,137776917.0,0.0,1.0,99.0,17595.0,97809.0,25293.0,17989.0,3.0,5.0,5.0,0.0,576.0,4,29,7,2013
1977,4.0,2.0,73210000.0,1.0,0.0,41.0,6069.0,2023.0,104260.12396694215,0.0,0.0,0.0,3.0,0.0,470.0,6,14,4,2013
1948,4.0,1.0,169054227.0,0.0,0.0,39.0,116173.0,647501.0,107283.0,65110.0,0.0,4.0,11.0,0.0,567.0,3,20,7,2013
1960,2.0,0.0,153914231.0,0.0,1.0,59.0,65865.0,541876.0,285820.0,240938.0,2.0,8.0,5.0,0.0,523.0,5,6,6,2013
1953,2.0,3.0,55120000.0,2.0,0.0,55.0,4046.0,26299.0,0.0,6069.0,1.0,2.0,1.0,0.0,437.0,0,12,3,2013
1957,1.0,1.0,129137404.09213051,0.0,1.0,30.0,15143.0,61788.0,4104.0,0.0,4.0,5.0,8.0,0.0,523.0,5,6,6,2013
1991,1.0,0.0,44972925.0,1.0,0.0,4.0,28043.0,58171.0,32863.0,10115.0,2.0,1.0,0.0,0.0,567.0,3,20,7,2013
1972,2.0,0.0,159340609.0,0.0,0.0,44.0,44551.0,1241015.0,163565.0,127410.0,0.0,5.0,10.0,0.0,558.0,1,11,7,2013
1968,4.0,0.0,107853965.0,0.0,1.0,46.0,13202.0,2386.0,15496.0,7122.0,1.0,1.0,5.0,0.0,572.0,0,25,7,2013
1963,2.0,0.0,77222296.0,1.0,0.0,44.0,17793.0,159679.0,46889.0,31245.0,4.0,3.0,5.0,0.0,523.0,5,6,6,2013
1956,3.0,2.0,78187272.0,0.0,0.0,31.0,6069.0,25887.0,4937.0,7406.0,4.0,1.0,0.0,0.0,523.0,5,6,6,2013
1960,3.0,2.0,151001613.0,1.0,1.0,46.0,157641.0,548208.0,72815.0,45385.0,1.0,6.0,11.0,0.0,572.0,0,25,7,2013
1990,2.0,2.0,74773000.0,1.0,0.0,33.0,6069.0,84966.0,30345.0,32368.0,0.0,0.0,5.0,0.0,517.0,0,31,5,2013
1979,0.0,2.0,53711000.0,1.0,0.0,27.0,18207.0,18207.0,28322.0,22253.0,3.0,5.0,3.0,0.0,503.0,0,17,5,2013
1968,2.0,1.0,150473963.0,0.0,0.0,17.0,202080.0,1507082.0,217324.0,208781.0,2.0,8.0,5.0,0.0,433.0,6,8,3,2013
1951,2.0,0.0,84552000.0,1.0,1.0,25.0,2023.0,654391.7260273972,16184.0,22253.0,3.0,5.0,3.0,0.0,494.0,6,8,5,2013
1964,4.0,2.0,112009967.0,1.0,1.0,66.0,0.0,187620.0,8264.0,20600.0,5.0,5.0,4.0,0.0,433.0,6,8,3,2013
1978,4.0,2.0,160258000.0,0.0,1.0,61.0,145656.0,900235.0,141610.0,143633.0,2.0,14.0,9.0,0.0,257.0,1,13,9,2012
1964,2.0,2.0,83176426.0,1.0,0.0,60.0,11091.0,265782.0,325.0,43854.0,8.0,6.0,5.0,0.0,523.0,5,6,6,2013
1961,2.0,0.0,139305348.0,0.0,0.0,33.0,65394.0,1023160.0,120740.0,106967.0,2.0,2.0,4.0,0.0,523.0,5,6,6,2013
1972,2.0,3.0,155985520.0,0.0,0.0,28.0,159607.0,1035946.0,388094.0,139224.0,0.0,6.0,3.0,0.0,523.0,5,6,6,2013
1968,3.0,1.0,130826000.0,0.0,1.0,19.0,86989.0,208369.0,0.0,86989.0,2.0,7.0,9.0,0.0,621.0,2,12,9,2013
1968,2.0,1.0,100675324.0,0.0,1.0,45.0,14493.0,63468.0,85015.71224489796,18252.0,1.0,4.0,2.0,0.0,576.0,4,29,7,2013
1967,2.0,1.0,130849980.0,0.0,0.0,22.0,94547.0,213767.0,2468.0,87297.0,1.0,7.0,9.0,0.0,590.0,2,12,8,2013
1976,2.0,2.0,129137404.09213051,0.0,0.0,66.0,115311.0,1145018.0,226576.0,260967.0,2.0,6.0,7.0,0.0,865.0,5,14,5,2014
1959,1.0,2.0,132101556.0,0.0,0.0,31.0,62058.0,1077637.0,13923.0,69436.0,3.0,7.0,11.0,0.0,433.0,6,8,3,2013
1977,4.0,1.0,136519717.0,0.0,0.0,61.0,92790.0,796908.0,85073.9623655914,97699.0,0.0,4.0,6.0,0.0,590.0,2,12,8,2013
1970,3.0,0.0,147621673.0,0.0,0.0,5.0,65867.0,1080727.0,160208.0,77852.0,1.0,2.0,7.0,0.0,590.0,2,12,8,2013
1970,4.0,2.0,73974000.0,1.0,0.0,8.0,2023.0,42483.0,2023.0,0.0,3.0,0.0,5.0,0.0,860.0,0,9,5,2014
1966,2.0,2.0,157618142.0,0.0,0.0,46.0,101317.0,1285118.0,308054.0,210755.0,0.0,5.0,3.0,0.0,523.0,5,6,6,2013
1963,2.0,0.0,135432450.46090534,0.0,1.0,14.0,15436.0,112814.0,85015.71224489796,20120.0,0.0,8.0,5.0,0.0,576.0,4,29,7,2013
1978,2.0,2.0,53439000.0,0.0,0.0,4.0,20230.0,12138.0,0.0,26299.0,3.0,4.0,2.0,0.0,654.0,1,15,10,2013
1977,2.0,1.0,90462000.0,1.0,1.0,50.0,16184.0,153748.0,18207.0,26299.0,4.0,2.0,6.0,0.0,615.0,0,6,9,2013
1988,1.0,0.0,133930462.0,0.0,0.0,100.0,45677.0,266048.26248671627,148530.0,252312.0,0.0,4.0,13.0,0.0,572.0,0,25,7,2013
1967,2.0,1.0,109776550.68431772,1.0,1.0,22.0,4046.0,12138.0,0.0,0.0,2.0,1.0,6.0,0.0,345.0,1,10,12,2012
1965,2.0,1.0,117218962.0,0.0,1.0,91.0,52718.0,135596.0,5676.0,270147.0,2.0,5.0,4.0,0.0,433.0,6,8,3,2013
1949,3.0,1.0,106485013.0,0.0,0.0,45.0,26540.0,175517.0,44813.0,6134.0,5.0,9.0,4.0,0.0,576.0,4,29,7,2013
1981,2.0,1.0,165484920.0,0.0,0.0,49.0,44466.0,589248.0,41555.0,74839.50193798449,2.0,6.0,6.0,0.0,523.0,5,6,6,2013
1954,3.0,1.0,100016000.0,0.0,1.0,76.0,24276.0,234668.0,18207.0,0.0,4.0,9.0,3.0,0.0,469.0,0,13,4,2013
1972,3.0,1.0,129137404.09213051,0.0,1.0,85.0,55231.0,475405.0,36006.0,74839.50193798449,1.0,10.0,4.0,0.0,523.0,5,6,6,2013
1968,3.0,1.0,60714702.0,1.0,0.0,47.0,7978.0,20164.0,8092.0,5729.0,1.0,0.0,2.0,0.0,567.0,3,20,7,2013
1962,4.0,0.0,93716717.0,0.0,0.0,73.0,6859.0,232514.0,73796.57649667405,34311.0,5.0,4.0,5.0,0.0,567.0,3,20,7,2013
1975,1.0,2.0,90783000.0,1.0,0.0,15.0,6069.0,50575.0,4046.0,10115.0,0.0,4.0,5.0,0.0,807.0,0,17,3,2014
1956,2.0,1.0,143621539.0,0.0,0.0,37.0,248704.0,1414876.0,243010.0,68915.0,1.0,2.0,7.0,0.0,572.0,0,25,7,2013
1986,2.0,0.0,37785929.0,0.0,0.0,0.0,9052.0,6639.0,11171.0,480.0,0.0,0.0,2.0,0.0,567.0,3,20,7,2013
1967,2.0,1.0,77945216.0,1.0,0.0,31.0,10427.0,60790.0,21657.0,20053.0,2.0,1.0,3.0,0.0,523.0,5,6,6,2013
1978,2.0,0.0,69620000.0,0.0,0.0,87.0,0.0,265013.0,44506.0,14161.0,4.0,6.0,4.0,0.0,586.0,0,8,8,2013
1985,3.0,1.0,76253108.0,0.0,0.0,29.0,56648.0,565744.6,95760.0,40913.0,2.0,2.0,6.0,0.0,523.0,5,6,6,2013
1947,3.0,1.0,96162805.0,0.0,0.0,29.0,16208.0,436266.0,187553.0,95056.0,4.0,10.0,6.0,0.0,567.0,3,20,7,2013
1974,1.0,2.0,69996000.0,2.0,1.0,91.0,10115.0,176001.0,34391.0,6069.0,6.0,5.0,4.0,0.0,232.0,0,19,8,2012
1974,2.0,2.0,150177000.0,0.0,1.0,54.0,68782.0,851683.0,4046.0,228599.0,5.0,2.0,9.0,0.0,382.0,1,16,1,2013
1983,3.0,0.0,76305634.0,1.0,0.0,23.0,3991.0,231863.0,33928.0,0.0,3.0,5.0,5.0,0.0,523.0,5,6,6,2013
1972,4.0,1.0,163530886.0,0.0,1.0,84.0,47198.83404710921,628626.0,94315.0,72062.0,2.0,5.0,2.0,0.0,572.0,0,25,7,2013
1950,2.0,0.0,150674000.0,0.0,0.0,92.0,74851.0,621061.0,91035.0,36414.0,2.0,0.0,4.0,0.0,874.0,0,23,5,2014
1943,3.0,2.0,117633534.0,0.0,0.0,77.0,22854.0,261101.0,7807.0,9939.0,1.0,8.0,4.0,0.0,567.0,3,20,7,2013
1954,2.0,1.0,175731468.0,0.0,0.0,52.0,59719.0,816579.0,145350.0,84246.0,2.0,2.0,11.0,0.0,433.0,6,8,3,2013
1970,0.0,2.0,28403856.0,0.0,0.0,30.0,9353.0,25537.0,30789.0,59104.15902964959,0.0,1.0,3.0,0.0,590.0,2,12,8,2013
1980,2.0,1.0,82706000.0,1.0,0.0,50.0,0.0,24276.0,0.0,0.0,3.0,6.0,3.0,0.0,454.0,0,29,3,2013
1962,1.0,1.0,139695313.0,0.0,0.0,51.0,188671.0,430484.0,215884.0,255172.0,0.0,7.0,5.0,0.0,576.0,4,29,7,2013
1979,2.0,1.0,81443459.0,0.0,0.0,49.0,5435.0,23765.0,0.0,0.0,1.0,0.0,1.0,0.0,590.0,2,12,8,2013
1962,3.0,2.0,125052648.0,0.0,0.0,96.0,440.0,62906.0,793.0,1057.0,0.0,8.0,7.0,0.0,576.0,4,29,7,2013
1969,2.0,1.0,46027147.0,1.0,0.0,50.0,7202.0,623.0,29656.0,488.0,4.0,1.0,5.0,0.0,572.0,0,25,7,2013
1986,2.0,0.0,84418201.0,1.0,0.0,35.0,26447.0,374088.8282208589,33174.0,16332.0,2.0,4.0,5.0,0.0,558.0,1,11,7,2013
1988,3.0,1.0,158979947.0,0.0,0.0,41.0,84273.0,961653.0,39056.0,76347.0,2.0,3.0,13.0,0.0,558.0,1,11,7,2013
