tahun_kelahiran,belanja_daging,belanja_ikan,belanja_kue,belanja_buah,terakhir_belanja,pendapatan,pembelian_web,pembelian_toko,day_after,jumlah_promosi
1982.0,26206.0,4231.0,836.0,8742.0,54,54251927.29,2,2,516,6
1952.0,327271.0,316441.0,119442.0,328922.0,44,156350122.0,8,4,546,1
1971.0,42483.0,16184.0,0.0,0.0,26,43178000.0,1,3,280,1
1952.0,1512830.0,63227.0,90479.0,239427.0,59,164315916.0,1,8,550,4
1972.0,287661.0,7845.79,28185.0,61055.0,57,147865210.0,3,4,561,4
1957.0,42483.0,30345.0,8092.0,12138.0,17,82594000.0,5,6,408,0
1958.0,23837.0,7230.0,6215.0,8384.0,51,71993939.0,0,4,610,1
1944.0,442036.0,9714.0,32368.0,86568.0,84,135614309.0,12,3,583,3
1986.0,19591.3962890625,0.0,0.0,3035.8242578125,29,80543000.0,0,2,818,4
1962.0,285243.0,74851.0,99127.0,103173.0,73,123183000.0,1,13,280,2
1961.0,2309651.0,118592.0,165088.0,167993.0,60,250037882.0,3,5,544,1
1977.0,51693.0,13012.0,9759.0,8966.0,87,82487648.0,0,3,605,0
1973.0,50678.0,10609.86,0.0,8336.0,21,99401995.0,4,2,672,3
1967.0,298531.0,84134.0,102742.0,31146.0,62,126562374.0,6,6,526,1
1953.0,345883.0,126329.0,70725.0,17207.0,41,123505578.0,8,7,558,0
1984.0,23608.0,22940.0,23608.0,6882.0,35,25228510.0,1,1,569,0
1983.0,23359.0,24810.0,15878.0,992.0,3,90795396.0,1,1,592,0
1976.0,26299.0,36414.0,16184.0,10115.0,29,83611000.0,4,1,315,0
1962.0,13539.0,4484.0,3960.0,1584.0,61,78253666.0,2,2,645,3
1964.0,249900.0,3576.0,30018.0,21026.0,36,78159398.0,2,5,460,6
1954.0,154472.0,15851.0,442.0,4046.0,58,105339251.0,9,4,520,4
1979.0,187363.0,7444.0,35038.0,27027.0,64,83776073.0,7,5,479,5
1964.0,2946.0,9996.0,446.0,11245.0,55,82406882.0,3,3,550,0
1976.0,75313.0,26976.69201171875,5352.0,25470.0,12,52426890.0,4,4,482,6
1977.0,3489675.0,0.0,6069.0,20869.07,19,332884000.0,0,2,488,2
1968.0,14161.0,0.0,0.0,2023.0,41,83987000.0,6,5,384,0
1968.0,632369.0,136287.0,42107.0,71757.0,78,166147411.0,6,7,584,5
1970.0,159437.0,25870.0,18648.27,15005.0,30,122375006.0,9,7,524,2
1975.0,25316.0,39202.0,19935.0,12079.0,28,51622455.0,1,4,575,3
1956.0,1082787.0,112601.0,19302.0,77286.0,59,190785436.0,9,6,548,5
1975.0,1488928.0,145656.0,105196.0,180047.0,65,163147587.81,1,7,555,0
1963.0,318.0,3939.0,6175.0,4116.0,11,64574106.0,2,3,651,0
1954.0,76874.0,0.0,0.0,14161.0,65,138435000.0,9,3,741,3
1969.0,15275.0,16413.0,0.0,5459.0,114,79096299.0,5,3,619,0
1966.0,677705.0,125426.0,196231.0,124244.328125,61,132187000.0,3,7,804,0
1952.0,186971.0,126869.0,47087.0,8800.0,73,101011758.0,6,7,578,4
1959.0,47209.0,0.0,10815.0,20049.0,12,94350762.0,4,4,643,5
1962.0,1105695.0,24860.0,21599.0,235876.0,4,132185834.0,6,6,597,6
1956.0,137455.0,11263.0,0.0,17277.0,50,109732202.0,8,7,547,5
1978.0,13915.0,31205.0,19494.0,21335.0,73,35763513.0,2,1,598,2
1991.0,580601.0,271082.0,78897.0,125426.0,76,127644000.0,2,12,780,0
1975.0,375332.0,366743.0,290826.0,191186.0,85,92900343.0,8,4,418,3
1981.0,20123.0,7855.0,19520.0,43582.0,78,49661713.0,1,1,526,6
1958.0,11289.0,410.0,2051.0,2433.0,51,78870292.0,2,0,639,3
1971.0,80393.0,11647.0,6874.0,45941.0,15,71268246.0,5,3,534,6
1946.0,370209.0,95081.0,40460.0,82943.0,55,111699000.0,10,12,553,2
1953.0,125485.0,21910.0,18331.0,10955.0,80,99736302.0,4,6,586,0
1954.0,48552.0,30595.814453125,34391.0,22253.0,81,53300000.0,1,1,789,0
1971.0,1067692.76,88576.0,110807.0,100058.0,37,167128873.0,3,9,545,6
1983.0,304765.0,60438.0,52275.0,42264.0,73,166606724.0,6,5,554,6
1978.0,179122.0,101958.0,75164.28,34925.0,55,118914700.0,9,6,509,3
1968.0,6069.0,4046.0,0.0,0.0,61,76484000.0,0,4,756,0
1983.0,85109.0,0.0,0.0,9320.0,47,110120983.0,0,6,588,0
1977.0,3350256.0,11245.0,7924.0,4206.0,18,325514244.0,0,1,591,2
1956.0,76874.0,12138.0,0.0,0.0,62,69285000.0,4,4,552,2
1963.0,102110.2109375,76874.0,38437.0,28322.0,59,75668000.0,3,2,494,1
1956.0,370209.0,16184.0,46529.0,12138.0,25,158433000.0,9,5,455,0
1961.0,390780.0,114113.0,75835.0,118419.0,20,152276450.0,9,4,532,4
1973.0,1520515.0,148755.0,125538.0,282725.0,60,165458484.0,5,8,558,4
1968.0,774778.0,231114.0,287046.0,196777.0,20,172329809.0,6,4,537,6
1979.0,931955.0,256516.0,60244.0,44506.0,6,138817313.0,6,8,519,5
1962.0,46775.0,2815.0,1585.0,10634.0,77,110928081.0,5,5,689,5
1974.0,514556.0,44208.0,25168.0,28441.0,22,151599910.0,3,8,570,1
1971.0,382409.0,81305.0,235977.0,83817.0,50,111202436.0,5,4,506,0
1975.0,863565.72,102878.0,121044.0,66647.0,36,164601983.0,5,7,536,5
1947.0,1192829.0,258158.0,197764.0,144766.0,55,151115234.0,7,10,556,1
1980.0,311542.0,139587.0,72828.0,32368.0,77,105661000.0,6,5,893,0
1958.0,112716.0,14951.0,747.0,13677.0,11,118634453.0,9,3,563,0
1983.0,322101.0,104424.0,72718.0,85187.0,32,84414440.0,6,7,534,6
1954.0,236354.0,17838.0,579.0,24486.0,75,100020844.0,9,2,543,0
1964.0,149547.0,16167.0,14152.0,14152.0,76,95020110.0,5,4,523,0
1958.0,1798060.0,133865.0,202370.0,108681.0,69,170112112.0,4,4,546,3
1954.0,464521.56,122599.0,159239.0,196142.0,87,136676591.0,11,5,513,3
1959.0,236691.0,449106.0,295358.0,291312.0,43,165583000.0,3,9,456,2
1966.0,1632669.0,312792.0,145162.0,166150.0,31,187041788.0,4,4,566,0
1968.0,109242.0,0.0,18207.0,10115.0,23,99416000.0,7,2,311,1
1962.0,384521.85,154939.0,47797.0,131624.0,11,152559603.0,10,5,515,4
1968.0,63666.0,42277.0,18320.0,14524.0,48,100686641.0,4,2,547,4
1963.0,322074.0,104473.0,73912.0,81662.0,37,100590412.0,4,4,556,3
1955.0,232181.0,8930.0,26530.0,22599.0,51,118505331.0,8,5,553,3
1989.0,22674.0,674.0,6153.0,5984.0,69,66130082.0,3,4,647,0
1962.0,87307.0,19999.0,12452.1055078125,7496.0,85,96015401.0,6,4,465,3
1972.0,962041.0,239127.0,300586.0,43367.0,44,150691555.0,6,6,528,2
1959.0,784383.0,236771.0,155275.0,149206.0,9,155631886.0,7,7,524,5
1945.0,337812.0,252334.0,73641.0,35153.0,57,95801738.0,8,4,508,3
1982.0,16366.0,30862.0,21553.0,19423.0,66,34735069.0,3,1,553,2
1961.0,115620.0,74338.0,14429.0,11584.0,68,141683052.0,2,6,613,0
1956.0,930153.0,199478.0,166588.0,66727.0,79,186517250.0,3,5,625,5
1959.0,97809.0,25293.0,17989.0,17595.0,99,137776917.0,5,5,612,4
1977.0,2023.0,14886.9130859375,0.0,6069.0,41,73210000.0,0,3,470,6
1948.0,647501.0,107283.0,65110.0,116173.0,39,169054227.0,4,11,564,3
1960.0,541876.0,285820.0,240938.0,65865.0,59,153914231.0,8,5,528,5
1953.0,26299.0,0.0,6069.0,4046.0,55,55120000.0,2,1,437,0
1957.0,61788.0,4104.0,0.0,15143.0,30,112114636.38,5,8,605,5
1991.0,58171.0,32863.0,10115.0,28043.0,4,44972925.0,1,0,590,3
1972.0,1241015.0,163565.0,127410.0,44551.0,44,159340609.0,5,10,538,1
1968.0,2386.0,15496.0,7122.0,13202.0,46,107853965.0,1,5,625,0
1963.0,159679.0,46889.0,31245.0,17793.0,44,77222296.0,3,5,517,5
1956.0,25887.0,4937.0,7406.0,6069.0,31,78187272.0,1,0,645,5
1960.0,548208.0,72815.0,45385.0,157641.0,46,151001613.0,6,11,549,0
1990.0,84966.0,30345.0,32368.0,6069.0,33,74773000.0,0,5,517,0
1979.0,18207.0,28322.0,22253.0,18207.0,27,53711000.0,5,3,503,0
1968.0,1507082.0,217324.0,208781.0,202080.0,17,150473963.0,8,5,516,6
1951.0,66153.234375,16184.0,22253.0,2023.0,25,84552000.0,5,3,494,6
1964.0,187620.0,8264.0,20600.0,0.0,66,112009967.0,5,4,518,6
1978.0,900235.0,141610.0,143633.0,145656.0,61,160258000.0,14,9,257,1
1964.0,265782.0,325.0,43854.0,11091.0,60,83176426.0,6,5,470,5
1961.0,1023160.0,120740.0,106967.0,65394.0,33,139305348.0,2,4,599,5
1972.0,1035946.0,388094.0,139224.0,159607.0,28,155985520.0,6,3,504,5
1968.0,208369.0,0.0,86989.0,86989.0,19,130826000.0,7,9,621,2
1968.0,63468.0,33920.25,18252.0,14493.0,45,100675324.0,4,2,548,4
1967.0,213767.0,2468.0,87297.0,94547.0,22,130849980.0,7,9,566,2
1976.0,1145018.0,226576.0,260967.0,115311.0,66,155122192.0,6,7,865,5
1959.0,1077637.0,13923.0,69436.0,62058.0,31,132101556.0,7,11,606,6
1977.0,796908.0,108615.04,97699.0,92790.0,61,136519717.0,4,6,570,2
1970.0,1080727.0,160208.0,77852.0,65867.0,5,147621673.0,2,7,559,2
1970.0,42483.0,2023.0,0.0,2023.0,8,73974000.0,0,5,860,0
1966.0,1285118.0,308054.0,210755.0,101317.0,46,157618142.0,5,3,524,5
1963.0,112814.0,22686.7663671875,20120.0,15436.0,14,134921615.52,8,5,603,4
1978.0,12138.0,0.0,26299.0,20230.0,4,53439000.0,4,2,654,1
1977.0,153748.0,18207.0,26299.0,16184.0,49,90462000.0,2,6,615,0
1988.0,1186449.47,148530.0,252312.0,45677.0,100,133930462.0,4,13,530,0
1967.0,12138.0,0.0,0.0,4046.0,22,66587200.82,1,2,345,1
1965.0,135596.0,5676.0,270147.0,52718.0,91,117218962.0,5,4,550,6
1949.0,175517.0,44813.0,6134.0,26540.0,45,106485013.0,9,4,559,4
1981.0,589248.0,41555.0,61794.39,44466.0,49,165484920.0,6,6,542,5
1954.0,234668.0,18207.0,0.0,24276.0,76,100016000.0,9,3,469,0
1972.0,475405.0,36006.0,63074.51,55231.0,85,143896803.52,10,4,560,5
1968.0,20164.0,8092.0,5729.0,7978.0,47,60714702.0,0,2,649,3
1962.0,232514.0,26925.35,34311.0,6859.0,73,93716717.0,6,5,487,3
1975.0,50575.0,4046.0,10115.0,6069.0,15,90783000.0,4,3,807,0
1956.0,1414876.0,243010.0,68915.0,248704.0,37,143621539.0,2,7,547,0
1986.0,6639.0,11171.0,480.0,9052.0,0,37785929.0,0,2,599,3
1967.0,60790.0,21657.0,20053.0,10427.0,31,77945216.0,1,3,561,5
1978.0,265013.0,44506.0,14161.0,0.0,87,69620000.0,6,4,586,0
1985.0,117622.95421875,95760.0,40913.0,56648.0,29,76253108.0,2,4,514,5
1947.0,436266.0,187553.0,95056.0,16208.0,29,96162805.0,10,6,507,3
1974.0,176001.0,34391.0,6069.0,10115.0,91,69996000.0,5,4,232,0
1974.0,851683.0,4046.0,228599.0,68782.0,54,150177000.0,2,9,382,1
1983.0,231863.0,33928.0,0.0,3991.0,23,76305634.0,7,5,538,5
1972.0,628626.0,94315.0,72062.0,46638.62,84,163530886.0,5,2,578,0
1950.0,621061.0,91035.0,36414.0,74851.0,92,150674000.0,0,4,874,0
1943.0,261101.0,7807.0,9939.0,22854.0,77,117633534.0,8,4,619,3
1954.0,816579.0,145350.0,84246.0,59719.0,52,175731468.0,2,11,543,6
1970.0,25537.0,30789.0,16031.75,9353.0,30,28403856.0,1,3,585,2
1980.0,24276.0,0.0,0.0,0.0,50,82706000.0,6,3,454,0
1962.0,430484.0,215884.0,255172.0,188671.0,40,139695313.0,7,5,617,4
1979.0,23765.0,0.0,0.0,5435.0,49,81443459.0,0,1,616,2
1962.0,62906.0,793.0,1057.0,440.0,96,125052648.0,8,7,579,4
1969.0,623.0,29656.0,488.0,7202.0,54,46027147.0,1,5,581,0
1986.0,84858.559453125,33174.0,16332.0,26447.0,35,84418201.0,4,5,722,1
1988.0,961653.0,39056.0,76347.0,84273.0,41,158979947.0,3,13,550,1
1975.0,576855.0,96800.0,86192.64,108839.0,56,172672956.0,6,9,527,5
1963.0,399098.0,367200.0,234660.0,136290.0,75,93879755.0,8,4,446,3
1973.0,8026.0,37409.0,94950.0,3061.0,67,32094051.0,0,3,428,0
1985.0,576949.0,30962.0,37282.0,56107.0,45,174564497.0,7,8,535,5
1966.0,475405.0,42483.0,131495.0,16184.0,79,161546000.0,6,8,909,2
1980.0,36475.0,22978.0,34337.0,8868.71,7,65426870.97,3,0,560,5
1954.0,1100512.0,356048.0,178024.0,173978.0,54,112574000.0,10,5,250,5
1970.0,763888.0,204645.0,68077.0,149158.0,54,117868427.0,8,7,458,1
1970.0,162286.0,10540.0,26436.0,2586.0,20,80277238.0,4,1,560,5
1985.0,33087.0,0.0,14174.0,1357.0,9,57418429.0,0,4,572,0
1967.0,356215.0,95582.0,29154.0,104647.0,73,124377680.0,6,8,544,5
1990.0,22498.0,21050.0,25232.0,5933.0,28,33581395.0,3,1,600,2
1974.0,365145.0,113683.0,87252.0,102022.0,23,84658895.0,3,9,485,6
1952.0,1561756.0,56644.0,402577.0,220507.0,67,176266000.0,4,8,611,0
1973.0,86989.0,18207.0,28322.0,6069.0,39,100016000.0,4,5,416,0
1981.0,105196.0,0.0,12138.0,2023.0,61,91654720.0,7,4,407,0
1948.0,333795.0,64736.0,311542.0,145656.0,48,161540000.0,1,6,512,0
1973.0,275319.0,204775.0,158065.0,102679.0,82,92943218.0,6,4,446,3
1963.0,585569.0,342634.0,251434.0,49782.0,72,153901755.0,7,3,563,5
1960.0,1925326.0,110230.0,184160.0,110395.0,79,166436621.0,4,11,575,4
1947.0,32368.0,22253.0,22253.0,14161.0,17,65483000.0,0,1,586,0
1949.0,24276.0,0.0,6069.0,4046.0,0,97545000.0,0,1,793,6
1949.0,74851.0,38437.0,2023.0,14161.0,89,88614000.0,12,5,463,0
1975.0,72610.0,15511.0,8477.0,19804.0,48,117722843.0,8,5,600,4
1976.0,23722.0,6613.0,0.0,9743.0,27,49268637.0,0,2,587,1
1957.0,527277.0,70792.0,58945.0,41320.0,51,123613475.0,9,6,481,5
1962.0,318900.0,136435.0,52751.0,26538.0,34,104619285.0,3,3,593,3
1951.0,244653.0,8646.0,20294.0,23166.0,60,118219790.0,8,5,564,3
1976.0,38437.0,0.0,12138.0,4046.0,27,319054000.0,0,0,617,1
1959.0,26963.0,18723.0,13865.0,22105.0,68,81445159.0,1,1,641,2
1954.0,1074689.0,184481.1,149018.0,76297.0,8,149198580.0,7,7,538,2
1943.0,251833.0,7476.0,12090.0,21199.0,76,117601547.0,8,5,611,3
1973.0,289669.0,1642.0,31598.0,60854.0,63,147854094.0,3,3,539,4
1962.0,42452.0,10808.0,9564.061083984376,6014.16720703125,77,102102777.0,7,6,656,4
1964.0,16184.0,8092.0,0.0,0.0,73,112029000.0,4,3,629,0
1973.0,24276.0,0.0,9279.5576171875,6069.0,96,80923000.0,4,5,877,0
1948.0,1526814.0,38128.0,87969.0,224368.0,63,164251314.0,1,8,574,4
1957.0,710073.0,333795.0,335818.0,277151.0,91,160287000.0,7,8,757,0
1968.0,58048.0,40070.0,24309.0,8515.0,94,37056875.0,0,5,549,0
1966.0,153255.0,33692.0,40460.0,57624.0,86,143234645.0,6,7,628,1
1972.0,343858.0,36413.0,148665.0,111246.0,39,139468211.0,8,4,551,4
1977.0,953937.0,254772.0,77086.0,43959.0,5,138262328.0,8,7,481,5
1977.0,21743.0,23766.0,8832.0,4539.0,59,46364100.0,3,2,626,1
1962.0,803084.0,243443.0,2449.0,155208.0,81,172018729.0,3,8,555,6
1969.0,1224108.0,168584.0,142637.0,92725.0,74,187175160.0,3,7,567,5
1970.0,172897.0,6700.0,14371.0,18756.0,52,99615496.0,5,3,566,1
1945.0,221183.0,89758.0,17007.0,63310.0,19,108894703.0,8,4,622,4
1996.0,9542.0,11224.0,6695.0,5869.664580078125,55,53816566.0,0,0,656,0
1967.0,22253.0,16184.0,12138.0,44506.0,51,43952000.0,4,3,382,0
1945.0,68782.0,28322.0,0.0,58667.0,77,123184976.16,3,5,718,0
1961.0,121380.0,10115.0,2023.0,2023.0,79,119386000.0,5,12,752,5
1960.0,1956241.0,111265.0,169932.0,115311.0,84,166334000.0,4,12,570,4
1974.0,1710161.0,26719.0,42864.0,58781.0,53,179557688.0,5,5,530,1
1958.0,800040.0,176822.35,119372.0,106181.0,13,153035299.59,8,7,539,5
1972.0,25992.17,14161.0,4046.0,5603.732290039063,85,63657000.0,1,3,597,2
1958.0,63977.0,13857.0,3464.0,7712.0,23,100027595.0,7,5,592,0
1957.0,180259.38,10148.0,0.0,18505.0,82,109504484.0,9,6,493,5
1984.0,210956.0,62685.0,72791.0,68348.0,71,114836748.0,4,6,551,2
1946.0,434881.0,194700.0,104245.76,16097.0,31,96132352.0,10,5,502,3
1981.0,34391.0,6069.0,8092.0,6069.0,83,71913000.0,4,5,656,0
1969.0,136182.0,62561.0,47881.0,47321.0,92,136800919.59,7,6,633,4
1984.0,151725.0,32368.0,14161.0,20230.0,87,153706000.0,6,6,810,0
1960.0,400182.0,149724.0,79086.0,126769.0,70,151760282.0,8,7,530,4
1956.0,15202.0,782.0,3130.0,5677.0,66,98493382.0,1,4,630,4
1987.0,24276.0,12138.0,10115.0,2023.0,63,56651000.0,0,3,549,1
1955.0,335421.0,122096.0,75247.0,164221.0,48,151962260.0,10,4,505,4
1951.0,94707.0,12680.0,6465.0,10657.0,53,135026580.0,4,7,614,4
1965.0,1914591.0,199417.0,174327.0,28508.0,25,225111560.0,2,7,614,2
1957.0,1351189.0,340179.0,180024.0,21567.0,78,160397044.0,3,9,564,2
1957.0,378767.0,8750.0,129460.0,72995.0,57,137238397.0,4,12,566,0
1967.0,24276.0,12138.0,16184.0,6069.0,47,99241000.0,1,3,656,1
1970.0,14161.0,0.0,6069.0,6069.0,30,91671000.0,4,3,652,0
1975.0,23268.0,17943.2112890625,16100.0,10031.0,79,41707994.0,1,1,742,0
1955.0,17980.0,7116.0,10341.0,2865.47,39,33072199.99,10,0,581,2
1961.0,12138.0,20230.0,10115.0,16184.0,51,72197000.0,0,3,727,1
1968.0,32991.0,4035.0,2919.0,4035.0,28,100634810.0,1,4,654,1
1959.0,182070.0,10115.0,16184.0,0.0,89,115629000.0,11,10,333,0
1971.0,277055.0,30783.0,10799.0,24510.0,5,110622378.0,5,6,545,4
1947.0,48781.0,20668.0,3128.0,5151.0,0,109106168.0,4,4,687,0
1953.0,477282.0,176100.0,161436.0,280902.0,55,128169778.0,7,11,570,6
1968.0,109314.0,86405.0,53554.0,51130.0,44,77037073.0,0,4,505,5
1943.0,1793123.0,621600.0,2074.0,9705.0,68,133368126.21,10,6,481,0
1983.0,26299.0,4046.0,0.0,8092.0,56,31762000.0,3,2,241,6
1963.0,296940.0,23610.0,39476.0,16646.0,25,119591357.0,5,9,591,6
1970.0,36414.0,0.0,10115.0,0.0,77,83256000.0,0,1,640,0
1965.0,728390.0,204810.0,39402.0,83478.0,72,166292034.0,4,9,552,5
1971.0,224195.0,36306.0,219728.0,16126.0,51,120768180.0,2,8,479,0
1984.0,38938.0,0.0,10226.0,12305.0,18,66319917.0,0,6,589,0
1983.0,9842.0,20032.0,3396.0,12138.0,96,63210579.0,3,3,618,0
1955.0,149702.0,0.0,2023.0,0.0,13,122662000.0,8,8,466,0
1956.0,177201.28,14682.0,0.0,19328.0,82,110814269.74,10,7,499,5
1969.0,192185.0,34391.0,0.0,0.0,3,104274000.0,8,7,433,0
1950.0,1004940.0,13392.0,41734.0,153552.0,92,151034721.0,13,6,522,2
1966.0,163863.0,22253.0,42483.0,18207.0,32,84401000.0,4,4,219,0
1965.0,579428.0,104277.0,143237.0,73988.0,78,140401982.0,5,10,584,3
1975.0,216461.0,26299.0,8092.0,14161.0,100,96801000.0,4,6,877,0
1959.0,192290.0,18409.0,17040.565859375,8497.0,43,106910523.0,8,4,468,4
1970.0,312332.03,76130.0,151791.0,37618.0,37,120882185.0,4,9,475,0
1968.0,90214.0,72.0,4592.0,2059.0,69,117164927.0,2,11,606,3
1964.0,271335.0,23195.0,4712.0,29953.0,37,110787364.0,7,8,541,4
1956.0,435523.0,28890.0,77612.0,56421.0,59,137868178.0,4,10,582,4
1984.0,695912.0,145656.0,109242.0,107219.0,58,136898000.0,4,6,663,2
1978.0,408646.0,161840.0,66759.0,115311.0,13,139143792.0,3,12,717,1
1956.0,139260.0,33118.0,17509.364580078123,24557.0,75,81626300.0,3,3,547,0
1970.0,857777.0,175555.0,93940.0,83362.0,73,154921813.0,5,11,531,1
1970.0,32368.0,0.0,12138.0,0.0,91,58362000.0,0,5,470,1
1968.0,22070.0,18741.0,16837.85,40487.0,47,43945409.0,3,2,424,0
1972.0,17847.0,10963.0,5709.0,8972.0,44,81745869.0,2,1,641,2
1964.0,759894.0,112767.0,89655.0,70210.0,82,124702357.0,11,4,550,5
1969.0,70725.0,31492.0,1054.0,10028.0,54,88133203.0,2,4,546,1
1909.0,1141196.0,189158.0,132907.0,252050.0,38,169967488.0,4,5,624,3
1978.0,24276.0,32368.0,22253.0,11561.390625,48,57781000.0,1,2,787,0
1962.0,12491.0,618.0,12226.0,88.0,4,59204529.0,0,2,619,0
1972.0,43785.0,27360.0,6206.0,5486.0,66,32483683.0,2,4,543,0
1984.0,651254.0,95353.0,89948.0,50001.0,16,164849638.0,4,9,541,5
1969.0,654225.0,31140.0,39133.0,24043.0,44,121407344.0,9,7,491,6
1986.0,12138.0,8092.0,6069.0,4046.0,77,91341000.0,1,3,857,1
1986.0,434324.0,146376.0,85230.0,48763.0,13,153413381.82,12,10,514,5
1979.0,619141.0,183474.0,217601.0,61603.0,23,126763018.0,3,10,512,1
1957.0,845614.0,50575.0,62713.0,38437.0,21,155876000.0,8,7,480,5
1960.0,369961.0,61948.0,46989.0,81740.0,46,136164632.0,8,9,517,3
1981.0,10115.0,16073.75,18207.0,16184.0,1,15320000.0,11,5,360,0
1956.0,63299.0,6447.0,15074.0,5494.0,55,106820999.0,1,3,586,3
1951.0,22253.0,0.0,2023.0,0.0,39,106102000.0,3,6,589,0
1961.0,1900094.0,109385.0,195773.0,106383.0,76,166520381.0,4,11,577,4
1969.0,209021.8134375,36103.0,41933.0,13954.0,27,124638945.47,1,8,578,5
1953.0,524650.0,143535.0,128131.0,212071.0,51,134209022.23,8,9,511,6
1993.0,32368.0,50575.0,123403.0,74851.0,0,51296000.0,4,3,361,0
1993.0,1215008.0,137608.0,211665.0,174358.0,76,179403786.0,5,9,571,3
1982.0,553169.0,47315.0,261548.0,30345.0,56,107184679.0,4,8,550,0
1975.0,194952.0,9142.0,26657.0,42345.957578125,72,155173428.0,4,11,575,2
1977.0,21715.0,37742.0,11141.0,11729.03,35,51969839.0,1,1,569,3
1955.0,364409.0,87685.28,28064.0,99007.42,32,129606631.0,9,12,528,1
1971.0,70805.0,20230.0,6069.0,12138.0,36,71224000.0,3,6,238,2
1958.0,6113.0,4359.0,7597.0,4810.0,7,64570844.0,1,4,650,0
1971.0,112382.0,38111.0,32449.0,13528.0,61,117598965.0,3,10,548,3
1957.0,244458.0,17702.0,0.0,27142.0,47,136954388.0,8,7,583,3
1973.0,859046.0,94741.0,169112.0,149501.0,50,143849297.0,3,10,506,2
1965.0,8762.0,2148.0,3614.0,738.0,23,61353363.0,4,0,672,0
1974.0,171449.0,13075.0,25656.0,19534.0,37,81124005.0,6,2,524,5
1954.0,453152.0,252875.0,104873.984375,64736.0,34,139672000.0,7,6,717,0
1964.0,16184.0,12138.0,6069.0,7068.160942382812,55,74023909.36,0,1,722,0
1966.0,578262.0,102083.0,58366.0,84710.0,79,124519017.0,9,6,526,5
1977.0,74839.0,8668.0,13017.29,13869.0,21,72615416.0,3,4,467,1
1955.0,1143038.0,185646.0,92915.0,143392.0,17,169064762.0,6,11,533,1
1973.0,24999.13671875,26299.0,4046.0,12138.0,11,46920000.0,1,2,524,2
1980.0,1088374.0,171955.0,352002.0,155771.0,50,164341000.0,6,5,485,0
1979.0,254898.0,58667.0,18207.0,24276.0,17,89626000.0,6,10,881,2
1960.0,133518.0,74851.0,60690.0,12138.0,21,137829000.0,10,5,623,1
1970.0,122522.93,0.0,6803.0,3401.0,54,117543345.0,3,9,599,3
1962.0,433093.0,64020.0,62067.0,13677.0,67,113653006.0,5,7,524,6
1952.0,173978.0,16184.0,12138.0,6069.0,50,79582000.0,4,7,660,0
1956.0,1019605.0,204733.14,141184.0,82008.53,32,138312696.0,2,5,548,5
1962.0,44506.0,8092.0,0.0,6069.0,97,98373000.0,4,9,275,5
1985.0,97858.0,2140.0,4163.0,4280.0,37,83212897.0,1,1,636,0
1954.0,513842.0,303450.0,32368.0,6069.0,47,141111000.0,10,7,412,1
1952.0,112669.0,10918.0,8092.0,9099.0,73,135141439.0,4,6,643,4
1969.0,10115.0,18207.0,14161.0,0.0,39,69945000.0,2,2,908,2
1980.0,1408068.0,267707.0,115316.0,360787.0,25,164994978.0,2,8,530,4
1970.0,789578.0,88534.0,72331.0,45793.0,75,157222222.0,3,5,592,3
1953.0,239044.0,70906.0,15023.0,50907.0,14,109446982.0,7,5,603,4
1960.0,273251.0,114.0,41978.0,10115.0,56,82608533.0,6,4,402,5
