tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,jumlah_promosi,day_after,day,month,year
1954,2,2,136676591,0,1,87,196142,425834,122599,159239,3,11,5,0,3,566,19,7,2013
1959,3,2,165583000,0,0,43,291312,236691,449106,295358,0,3,9,0,2,456,31,3,2013
1966,2,2,187041788,0,0,31,166150,1632669,312792,145162,2,4,4,0,0,565,19,7,2013
1968,2,0,99416000,1,1,23,10115,109242,0,18207,6,7,2,0,1,311,6,11,2012
1962,2,0,152559603,0,0,11,131624,376377,154939,47797,1,10,5,0,4,561,16,7,2013
1968,2,1,100686641,0,1,45,14524,63666,42277,18320,1,4,2,0,4,565,16,7,2013
1963,2,1,100590412,0,0,37,81662,322074,104473,73912,0,4,4,0,3,561,16,7,2013
1955,3,2,118505331,0,0,51,22599,232181,8930,26530,1,8,5,0,3,561,15,7,2013
1989,2,0,66130082,1,0,69,5984,22674,674,6153,0,3,4,0,0,560,14,7,2013
1962,3,0,96015401,0,1,85,7496,87307,19999,12156,6,6,4,0,3,567,17,7,2013
1972,2,0,150691555,0,0,44,43367,962041,239127,300586,0,6,6,0,2,561,16,7,2013
1959,2,2,155631886,0,0,9,149206,784383,236771,155275,0,7,7,0,5,567,19,7,2013
1945,3,2,95801738,0,0,57,35153,337812,252334,73641,4,8,4,0,3,561,14,7,2013
1982,1,2,34735069,1,0,66,19423,16366,30862,21553,3,3,1,0,2,567,18,7,2013
1961,3,2,141683052,0,1,68,11584,115620,74338,14429,0,2,6,0,0,567,18,7,2013
1956,2,0,186517250,0,0,79,66727,930153,199478,166588,0,3,5,0,5,560,14,7,2013
1959,2,1,137776917,0,1,99,17595,97809,25293,17989,3,5,5,0,4,561,13,7,2013
1977,4,2,73210000,1,0,41,6069,2023,5043,0,0,0,3,0,6,470,14,4,2013
1948,4,1,169054227,0,0,39,116173,647501,107283,65110,0,4,11,0,3,561,16,7,2013
1960,2,0,153914231,0,1,59,65865,541876,285820,240938,2,8,5,0,5,561,14,7,2013
1953,2,3,55120000,2,1,55,4046,26299,0,6069,1,2,1,0,0,437,12,3,2013
1957,1,1,111486178,0,1,30,15143,61788,4104,0,4,5,8,0,5,567,20,7,2013
1991,1,0,44972925,1,0,4,28043,58171,32863,10115,2,1,0,0,3,558,13,7,2013
1972,2,0,159340609,0,0,44,44551,1241015,163565,127410,0,5,10,0,1,559,13,7,2013
1968,4,0,107853965,0,1,46,13202,2386,15496,7122,1,1,5,0,0,560,14,7,2013
1963,2,0,77222296,1,0,44,17793,159679,46889,31245,4,3,5,0,5,567,16,7,2013
1956,3,2,78187272,0,0,31,6069,25887,4937,7406,4,1,0,0,5,561,14,7,2013
1960,3,1,151001613,1,1,46,157641,548208,72815,45385,1,6,11,0,0,562,15,7,2013
1990,2,2,74773000,1,0,33,6069,84966,30345,32368,0,0,5,0,0,517,31,5,2013
1979,0,1,53711000,1,0,27,18207,18207,28322,22253,3,5,3,0,0,503,17,5,2013
1968,2,1,150473963,0,0,17,202080,1507082,217324,208781,2,8,5,0,6,571,23,7,2013
1951,2,0,84552000,1,1,25,2023,117792,16184,22253,3,5,3,0,6,494,8,5,2013
1964,4,2,112009967,1,1,66,0,187620,8264,20600,5,5,4,0,6,567,18,7,2013
1978,4,2,160258000,0,1,61,145656,900235,141610,143633,2,14,9,0,1,257,13,9,2012
1964,2,2,83176426,1,0,60,11091,265782,325,43854,8,6,5,0,5,562,16,7,2013
1961,2,0,139305348,0,0,33,65394,1023160,120740,106967,2,2,4,0,5,566,17,7,2013
1972,2,3,155985520,0,0,28,159607,1035946,388094,139224,0,6,3,0,5,565,18,7,2013
1968,3,1,130826000,0,1,19,86989,208369,0,86989,2,7,9,0,2,621,12,9,2013
1968,2,1,100675324,0,1,45,14493,63468,40716,18252,1,4,2,0,4,565,16,7,2013
1967,2,1,130849980,0,0,22,94547,213767,2468,87297,1,7,9,0,2,563,16,7,2013
1976,2,2,163533490,0,0,66,115311,1145018,226576,260967,2,6,7,0,5,865,14,5,2014
1959,1,2,132101556,0,0,31,62058,1077637,13923,69436,3,7,11,0,6,563,17,7,2013
1977,4,1,136519717,0,0,61,92790,796908,129781,97699,0,4,6,0,2,560,14,7,2013
1970,3,0,147621673,0,0,5,65867,1080727,160208,77852,1,2,7,0,2,561,17,7,2013
1970,4,2,73974000,1,1,8,2023,42483,2023,0,3,0,5,0,0,860,9,5,2014
1966,2,2,157618142,0,0,46,101317,1285118,308054,210755,0,5,3,0,5,560,15,7,2013
1963,2,0,133297028,0,1,14,15436,112814,27666,20120,0,8,5,0,4,560,13,7,2013
1978,2,2,53439000,0,0,4,20230,12138,0,26299,3,4,2,0,1,654,15,10,2013
1977,2,1,90462000,1,1,47,16184,153748,18207,26299,4,2,6,0,0,615,6,9,2013
1988,1,0,133930462,0,0,100,45677,1228366,148530,252312,0,4,13,0,0,560,14,7,2013
1967,2,1,72529154,1,1,22,4046,12138,0,0,2,1,3,0,1,345,10,12,2012
1965,2,1,117218962,0,1,91,52718,135596,5676,270147,2,5,4,0,6,561,15,7,2013
1949,3,1,106485013,0,0,45,26540,175517,44813,6134,5,9,4,0,4,561,15,7,2013
1981,2,2,165484920,0,0,49,44466,589248,41555,51531,2,6,6,0,5,558,10,7,2013
1954,3,1,100016000,0,1,76,24276,234668,18207,0,4,9,3,0,0,469,13,4,2013
1972,3,1,140081238,0,1,85,55231,475405,36006,65540,1,10,4,0,5,560,13,7,2013
1968,3,1,60714702,1,0,47,7978,20164,8092,5729,1,0,2,0,3,560,14,7,2013
1962,4,0,93716717,0,0,73,6859,232514,43573,34311,5,6,5,0,3,565,17,7,2013
1975,1,2,90783000,1,0,15,6069,50575,4046,10115,0,4,3,0,0,807,17,3,2014
1956,2,1,143621539,0,0,37,248704,1414876,243010,68915,1,2,7,0,0,566,17,7,2013
1986,2,0,37785929,0,0,0,9052,6639,11171,480,0,0,2,0,3,562,17,7,2013
1967,2,1,77945216,1,0,31,10427,60790,21657,20053,2,1,3,0,5,560,14,7,2013
1978,2,0,69620000,1,0,87,0,265013,44506,14161,4,6,4,0,0,586,8,8,2013
1985,3,1,76253108,0,0,29,56648,127851,95760,40913,2,2,4,0,5,565,18,7,2013
1947,3,1,96162805,0,0,29,16208,436266,187553,95056,4,10,6,0,3,565,16,7,2013
1974,1,2,69996000,2,1,91,10115,176001,34391,6069,6,5,4,0,0,232,19,8,2012
1974,2,2,150177000,0,1,54,68782,851683,4046,228599,5,2,9,0,1,382,16,1,2013
1983,3,0,76305634,1,0,23,3991,231863,33928,0,3,7,5,0,5,562,17,7,2013
1972,4,1,163530886,0,1,84,81019,628626,94315,72062,2,5,2,0,0,565,17,7,2013
1950,2,0,150674000,0,0,92,74851,621061,91035,36414,2,0,4,0,0,874,23,5,2014
1943,3,2,117633534,0,0,77,22854,261101,7807,9939,1,8,4,0,3,565,15,7,2013
1954,2,1,175731468,0,0,52,59719,816579,145350,84246,2,2,11,0,6,561,14,7,2013
1970,0,2,28403856,0,0,30,9353,25537,30789,18374,0,1,3,0,2,565,16,7,2013
1980,2,1,82706000,1,0,53,0,24276,0,0,3,6,3,0,0,454,29,3,2013
1962,1,1,139695313,0,0,64,188671,430484,215884,255172,0,7,5,0,4,566,16,7,2013
1979,2,1,81443459,0,0,49,5435,23765,0,0,1,0,1,0,2,560,15,7,2013
1962,3,2,125052648,0,0,96,440,62906,793,1057,0,8,7,0,4,561,13,7,2013
1969,2,1,46027147,1,0,38,7202,623,29656,488,4,1,5,0,0,561,15,7,2013
1986,2,0,84418201,1,0,35,26447,106640,33174,16332,2,4,5,0,1,561,17,7,2013
1988,3,1,158979947,0,0,41,84273,961653,39056,76347,2,3,13,0,1,560,12,7,2013
1975,3,2,172672956,0,0,56,108839,576855,96800,59882,0,6,9,0,5,559,12,7,2013
1963,2,1,93879755,0,0,75,136290,399098,367200,234660,6,8,4,0,3,567,17,7,2013
1973,0,2,32094051,1,0,67,3061,8026,37409,94950,3,0,3,0,0,567,17,7,2013
1985,3,1,174564497,0,0,45,56107,576949,30962,37282,0,7,8,0,5,558,11,7,2013
1966,3,2,161546000,0,0,79,16184,475405,42483,131495,3,6,8,0,2,909,27,6,2014
1980,2,1,74194312,0,0,7,8870,36475,22978,34337,1,3,0,0,5,560,13,7,2013
1954,2,0,112574000,0,0,54,173978,1100512,356048,178024,2,10,5,0,5,250,6,9,2012
1970,2,2,117868427,0,1,54,149158,763888,204645,68077,4,8,7,0,1,565,18,7,2013
1970,2,0,80277238,1,0,20,2586,162286,10540,26436,3,4,1,0,5,561,15,7,2013
1985,1,2,57418429,1,0,9,1357,33087,0,14174,0,0,4,0,0,560,16,7,2013
1967,2,0,124377680,0,0,73,104647,356215,95582,29154,0,6,8,0,5,560,14,7,2013
1990,0,2,33581395,1,0,28,5933,22498,21050,25232,3,3,1,0,2,567,18,7,2013
1974,3,0,84658895,0,0,23,102022,365145,113683,87252,1,3,9,0,6,560,16,7,2013
1952,2,1,176266000,0,0,67,220507,1561756,56644,402577,3,4,8,0,0,611,2,9,2013
1973,2,2,100016000,1,1,39,6069,86989,18207,28322,6,4,5,0,0,416,19,2,2013
1981,4,1,74391275,1,0,61,2023,105196,0,12138,1,7,4,0,0,407,10,2,2013
1948,2,2,161540000,0,0,48,145656,333795,64736,311542,0,1,6,0,0,512,26,5,2013
1973,2,0,92943218,0,1,82,102679,275319,204775,158065,6,6,4,0,3,562,16,7,2013
1963,3,0,153901755,0,0,72,49782,585569,342634,251434,2,7,3,0,5,561,15,7,2013
1960,2,0,166436621,0,0,79,110395,1925326,110230,184160,0,4,11,0,4,561,14,7,2013
1947,2,1,65483000,1,1,17,14161,32368,22253,22253,3,0,1,0,0,586,8,8,2013
1949,2,0,97545000,1,1,0,4046,24276,0,6069,4,0,1,0,6,793,3,3,2014
1949,2,3,88614000,0,1,89,14161,74851,38437,2023,3,12,5,0,0,463,7,4,2013
1975,2,1,117722843,0,0,61,19804,72610,15511,8477,2,8,5,0,4,560,14,7,2013
1976,2,0,49268637,1,0,27,9743,23722,6613,0,3,0,2,0,1,561,17,7,2013
1957,3,2,123613475,0,1,51,41320,527277,70792,58945,5,9,6,0,5,565,18,7,2013
1962,2,2,104619285,0,0,34,26538,318900,136435,52751,1,3,3,0,3,561,15,7,2013
1951,3,2,118219790,0,0,60,23166,244653,8646,20294,1,8,5,0,3,561,14,7,2013
1976,4,1,319054000,1,1,27,4046,38437,0,12138,2,0,0,0,1,560,16,7,2013
1959,1,0,81445159,1,0,68,22105,26963,18723,13865,1,1,1,0,2,558,12,7,2013
1954,3,1,149198580,0,0,8,76297,1074689,172277,149018,0,7,7,0,2,566,19,7,2013
1943,3,2,117601547,0,0,76,21199,251833,7476,12090,1,8,5,0,3,563,15,7,2013
1973,2,1,147854094,0,0,63,60854,289669,1642,31598,1,3,3,0,4,561,14,7,2013
1962,2,1,102102777,0,1,77,6994,42452,10808,9613,2,7,6,0,4,563,16,7,2013
1964,4,2,112029000,1,1,73,0,16184,8092,0,0,4,3,0,0,567,19,7,2013
1973,3,2,80923000,1,1,96,6069,24276,0,4674,2,4,5,0,0,877,26,5,2014
1948,2,1,164251314,0,0,63,224368,1526814,38128,87969,0,1,8,0,4,561,15,7,2013
1957,2,3,160287000,0,1,91,277151,710073,333795,335818,3,7,8,0,0,757,26,1,2014
1968,2,1,37056875,0,0,94,8515,58048,40070,24309,4,0,5,0,0,561,15,7,2013
1966,2,2,143234645,0,1,86,57624,153255,33692,40460,3,6,7,0,1,567,18,7,2013
1972,2,0,139468211,0,0,39,111246,343858,36413,148665,1,8,4,0,4,562,14,7,2013
1977,2,1,138262328,0,0,5,43959,953937,254772,77086,0,8,7,0,5,561,12,7,2013
1977,1,2,46364100,1,0,59,4539,21743,23766,8832,1,3,2,0,1,561,15,7,2013
1962,3,2,172018729,0,0,81,155208,803084,243443,2449,0,3,8,0,6,557,11,7,2013
1969,2,0,187175160,0,0,74,92725,1224108,168584,142637,1,3,7,0,5,560,14,7,2013
1970,2,0,99615496,0,0,52,18756,172897,6700,14371,2,5,3,0,1,568,18,7,2013
1945,2,2,108894703,0,0,19,63310,221183,89758,17007,1,8,4,0,4,560,16,7,2013
1996,0,0,53816566,1,0,55,9965,9542,11224,6695,0,0,0,0,0,560,14,7,2013
1967,0,1,43952000,0,0,49,44506,22253,16184,12138,2,4,3,0,0,382,16,1,2013
1945,4,2,118941553,0,1,77,58667,68782,28322,0,1,3,6,0,0,718,18,12,2013
1961,4,2,119386000,0,1,79,2023,121380,10115,2023,4,5,12,0,5,752,21,1,2014
1960,2,0,166334000,0,0,84,115311,1956241,111265,169932,0,4,12,0,4,561,15,7,2013
1974,2,0,179557688,0,0,53,58781,1710161,26719,42864,0,5,5,0,1,560,14,7,2013
1958,2,1,152966034,0,0,13,106181,800040,175546,119372,1,8,7,0,5,568,18,7,2013
1972,4,2,63657000,1,0,85,5376,27930,14161,4046,1,1,3,0,2,597,19,8,2013
1958,2,0,100027595,0,1,23,7712,63977,13857,3464,4,7,5,0,0,567,16,7,2013
1957,1,1,109504484,0,1,82,18505,193846,10148,0,5,9,6,0,5,567,17,7,2013
1984,1,1,114836748,0,0,71,68348,210956,62685,72791,4,4,6,0,2,560,15,7,2013
1946,3,2,96132352,0,0,31,16097,434881,194700,99117,3,10,5,0,3,562,14,7,2013
1981,2,1,71913000,1,0,83,6069,34391,6069,8092,1,4,5,0,0,656,17,10,2013
1969,1,2,128894097,0,0,92,47321,136182,62561,47881,4,7,6,0,4,565,16,7,2013
1984,3,2,153706000,0,0,87,20230,151725,32368,14161,1,5,6,0,0,810,20,3,2014
1960,2,2,151760282,0,1,70,126769,400182,149724,79086,3,8,7,0,4,566,19,7,2013
1956,2,1,98493382,0,1,66,5677,15202,782,3130,1,1,4,0,4,561,15,7,2013
1987,2,2,56651000,1,0,63,2023,24276,12138,10115,0,1,3,0,1,549,2,7,2013
1955,2,1,151962260,0,0,48,164221,335421,122096,75247,3,10,4,0,4,568,18,7,2013
1951,3,2,135026580,0,1,53,10657,94707,12680,6465,4,4,7,0,4,561,16,7,2013
1965,2,0,225111560,0,0,25,28508,1914591,199417,174327,0,2,7,0,2,560,14,7,2013
1957,2,1,160397044,0,0,78,21567,1351189,340179,180024,0,3,9,0,2,562,17,7,2013
1957,3,2,137238397,0,1,57,72995,378767,8750,129460,4,4,12,0,0,568,17,7,2013
1967,1,1,99241000,1,1,47,6069,24276,12138,16184,0,1,3,0,1,656,17,10,2013
1970,3,3,91671000,1,1,30,6069,14161,0,6069,4,4,3,0,0,652,13,10,2013
1975,1,2,41707994,0,0,79,10031,23268,20335,16100,2,1,1,0,0,567,15,7,2013
1955,3,1,46153797,0,1,39,3784,17980,7116,10341,2,10,0,0,2,561,15,7,2013
1961,4,2,72197000,1,1,54,16184,12138,20230,10115,2,0,3,0,1,727,27,12,2013
1968,3,0,100634810,1,1,28,4035,32991,4035,2919,2,1,4,0,1,560,15,7,2013
1959,2,1,115629000,0,1,89,0,182070,10115,16184,3,11,10,0,0,333,28,11,2012
1971,2,2,110622378,1,0,5,24510,277055,30783,10799,8,5,6,0,4,561,14,7,2013
1947,3,0,109106168,1,1,0,5151,48781,20668,3128,5,3,4,0,0,562,17,7,2013
1953,2,0,128169778,0,0,55,280902,477282,176100,161436,1,7,11,0,6,562,17,7,2013
1968,3,1,77037073,0,0,44,51130,109314,86405,53554,3,0,4,0,5,560,15,7,2013
1943,3,0,126437503,0,0,68,9705,1793123,621600,2074,3,10,6,0,0,568,16,7,2013
1983,2,1,31762000,1,0,56,8092,26299,4046,0,4,3,2,0,6,241,28,8,2012
1963,2,1,119591357,0,1,25,16646,296940,23610,39476,3,5,9,0,6,561,16,7,2013
1970,4,0,83256000,1,1,77,0,36414,0,10115,0,0,1,0,0,640,1,10,2013
1965,2,1,166292034,0,0,72,83478,728390,204810,39402,2,4,9,0,5,561,12,7,2013
1971,3,1,120768180,0,1,51,16126,224195,36306,219728,8,2,8,0,0,560,12,7,2013
1984,3,0,66319917,1,0,18,12305,38938,0,10226,4,0,6,1,0,561,15,7,2013
1983,0,0,48777394,1,0,96,12138,9842,20032,3396,2,3,3,0,0,559,10,7,2013
1955,4,2,122662000,0,1,13,0,149702,0,2023,5,8,8,0,0,466,10,4,2013
1956,2,1,111915287,0,1,82,19328,213150,14682,0,4,10,6,0,5,565,16,7,2013
1969,3,2,104274000,1,1,3,0,192185,34391,0,8,8,7,0,0,433,8,3,2013
1950,2,1,151034721,0,1,92,153552,1004940,13392,41734,0,13,6,0,2,568,19,7,2013
1966,2,4,84401000,0,1,32,18207,163863,22253,42483,1,4,4,0,0,219,6,8,2012
1965,2,2,140401982,0,0,78,73988,579428,104277,143237,1,5,10,0,3,563,16,7,2013
1975,1,1,96801000,1,0,100,14161,216461,26299,8092,4,6,6,0,0,877,26,5,2014
1959,3,1,106910523,1,1,43,8497,192290,18409,11763,8,8,4,0,4,567,18,7,2013
1970,3,1,120882185,1,0,37,37618,286285,76130,151791,6,4,9,0,0,565,18,7,2013
1968,3,1,117164927,0,1,69,2059,90214,72,4592,1,2,11,0,3,561,14,7,2013
1964,2,1,110787364,0,1,37,29953,271335,23195,4712,7,7,8,0,4,561,16,7,2013
1956,2,2,137868178,0,1,59,56421,435523,28890,77612,3,4,10,0,4,563,17,7,2013
1984,3,1,136898000,0,0,58,107219,695912,145656,109242,0,4,6,0,2,663,24,10,2013
1978,3,0,145371670,0,0,13,115311,408646,161840,66759,2,3,12,0,1,717,17,12,2013
1956,2,1,81626300,0,0,75,24557,139260,33118,18416,0,3,3,0,0,565,17,7,2013
1970,2,1,154921813,0,0,73,83362,857777,175555,93940,0,5,11,0,1,561,14,7,2013
1970,2,1,58362000,1,1,91,0,32368,0,12138,5,0,5,0,1,470,14,4,2013
1968,0,1,43945409,0,0,47,40487,22070,18741,16569,2,3,2,0,0,565,16,7,2013
1972,1,1,81745869,1,1,44,8972,17847,10963,5709,2,2,1,0,2,560,16,7,2013
1964,3,1,124702357,0,1,82,70210,759894,112767,89655,3,11,4,0,5,563,16,7,2013
1969,3,0,88133203,1,0,54,10028,70725,31492,1054,0,2,4,0,1,560,15,7,2013
1909,4,1,169967488,0,0,38,252050,1141196,189158,132907,2,4,5,0,3,568,22,7,2013
