ID,h2o,catboost,ag,final_prediction
4795,1,0,1,1
4221,0,0,0,0
5770,0,0,0,0
7457,0,0,0,0
4504,0,0,0,0
1818,1,1,1,1
227,1,1,1,1
3716,1,1,1,1
7568,1,1,1,1
4983,0,0,1,0
6101,1,1,1,1
601,1,1,1,1
6660,0,0,0,0
7578,0,0,0,0
5884,0,0,0,0
3296,1,1,1,1
6114,0,1,1,1
5306,0,0,0,0
93,1,1,1,1
6397,0,0,0,0
5393,0,0,0,0
5739,1,1,0,1
5782,1,0,1,1
4238,0,0,0,0
7349,0,0,0,0
7600,0,0,0,0
1841,0,0,0,0
2862,1,1,1,1
6413,0,0,0,0
337,1,0,0,0
84,1,1,1,1
5332,0,0,0,0
4147,1,1,1,1
5435,0,1,0,0
2462,1,1,1,1
6565,0,0,0,0
4895,0,0,0,0
1056,1,1,1,1
203,1,1,1,1
5183,0,0,0,0
376,1,1,1,1
2303,0,1,0,0
1659,0,1,0,0
6393,0,0,0,0
6433,0,0,0,0
3562,1,0,0,0
868,1,1,1,1
3374,0,0,0,0
2315,1,1,1,1
1822,1,1,1,1
2008,1,1,1,1
2290,1,1,0,1
6926,0,0,0,0
3914,1,0,0,0
4054,1,0,0,0
2072,1,1,0,1
1177,1,1,1,1
7402,0,0,0,0
4158,0,0,0,0
6495,1,1,1,1
6432,0,0,0,0
4853,0,0,0,0
5307,0,1,0,0
3661,0,0,0,0
5954,0,0,0,0
4273,0,0,0,0
4525,0,0,0,0
4989,0,0,0,0
4690,0,0,0,0
1071,1,1,1,1
537,0,0,0,0
1350,1,0,1,1
3079,1,0,0,0
4217,0,0,0,0
5453,1,0,0,0
5783,0,0,0,0
7456,0,0,0,0
6798,0,0,0,0
6197,0,0,0,0
6095,0,0,0,0
923,1,1,1,1
4290,1,1,1,1
2492,1,0,0,0
7562,1,1,1,1
2269,1,0,1,1
6988,0,0,0,0
4460,1,0,0,0
1285,1,1,1,1
6941,0,0,0,0
7620,0,0,0,0
382,1,1,1,1
2510,0,0,0,0
4357,0,0,0,0
6875,0,0,0,0
1929,1,1,1,1
5649,0,0,0,0
5250,0,0,0,0
1061,1,1,1,1
7593,0,0,0,0
6523,0,0,0,0
2284,1,1,0,1
431,1,1,1,1
2423,1,1,1,1
6352,0,0,0,0
5567,0,0,0,0
4403,0,0,0,0
1336,1,1,1,1
1138,1,1,1,1
5659,0,0,0,0
1597,1,1,1,1
101,1,1,1,1
796,1,1,1,1
5711,0,0,0,0
2173,1,1,1,1
4821,1,0,0,0
7461,0,0,0,0
3248,0,0,0,0
7308,1,1,0,1
3528,1,0,0,0
256,1,0,1,1
6502,0,0,0,0
7154,0,0,0,0
3098,0,0,0,0
6184,0,0,0,0
70,0,1,1,1
1282,1,1,1,1
3273,0,0,0,0
2741,1,0,1,1
2481,0,0,0,0
1920,1,1,1,1
4328,0,0,0,0
5874,1,0,0,0
7174,0,0,0,0
5842,0,0,0,0
7127,1,1,0,1
4224,1,1,1,1
5975,0,0,0,0
4200,1,0,0,0
2806,1,1,1,1
6458,0,0,0,0
5571,0,0,0,0
1777,1,1,1,1
4184,0,0,0,0
457,1,1,1,1
4303,0,0,0,0
6999,1,1,0,1
3876,1,1,0,1
2353,1,0,0,0
273,1,1,1,1
774,1,0,0,0
7347,0,0,0,0
5582,0,0,0,0
1414,1,0,1,1
1116,1,1,0,1
766,1,1,1,1
5340,0,0,0,0
913,1,1,0,1
5937,1,0,0,0
2363,0,0,0,0
504,1,1,1,1
5556,0,0,0,0
2417,1,1,1,1
1020,1,1,1,1
4678,1,0,0,0
6671,0,0,0,0
6643,1,0,0,0
6018,0,0,0,0
5367,1,0,0,0
3141,1,0,0,0
2362,1,1,0,1
2180,1,1,1,1
4566,0,0,0,0
1587,1,1,1,1
4855,1,1,0,1
1927,1,0,1,1
2845,1,1,1,1
4657,0,1,0,0
4284,0,0,0,0
6061,0,0,0,0
6587,0,0,0,0
3330,1,1,1,1
4600,0,0,0,0
1778,1,1,1,1
5635,0,0,0,0
2528,0,0,1,0
5670,0,0,0,0
7532,1,0,0,0
6469,1,1,1,1
1418,1,1,1,1
4765,1,0,0,0
2058,1,1,1,1
5832,0,0,0,0
4196,0,0,0,0
506,1,1,1,1
4274,1,1,1,1
2866,1,1,1,1
3214,1,1,1,1
2755,1,1,1,1
64,1,1,1,1
4425,0,0,0,0
6341,0,0,0,0
408,1,1,1,1
1798,1,1,1,1
5350,0,0,0,0
4559,0,0,0,0
1246,1,1,1,1
5322,0,0,0,0
4823,1,0,1,1
1953,0,1,0,0
1908,1,1,0,1
3797,1,1,1,1
2942,1,0,1,1
4087,1,0,0,0
5455,0,0,0,0
3388,1,1,1,1
4122,0,0,0,0
4498,1,0,0,0
1370,1,1,1,1
2289,1,0,0,0
769,1,1,1,1
7423,1,1,1,1
1968,1,1,1,1
1906,1,1,1,1
3685,0,0,0,0
6557,0,0,0,0
7439,0,0,0,0
1498,1,0,0,0
7323,1,1,1,1
4739,0,0,0,0
2729,1,1,1,1
887,1,1,1,1
2341,1,0,0,0
3285,0,0,0,0
5516,0,0,0,0
1410,1,1,1,1
2922,1,1,1,1
7210,0,1,0,0
1743,0,0,0,0
3468,0,0,0,0
6110,0,0,0,0
4374,0,0,0,0
956,1,1,1,1
7294,0,0,0,0
4339,1,0,0,0
2373,0,0,0,0
1582,0,0,0,0
6022,0,0,0,0
2977,1,1,1,1
1977,1,1,1,1
756,1,0,0,0
7146,0,0,0,0
6524,0,0,0,0
6907,0,0,0,0
3850,0,0,0,0
6980,0,0,0,0
1462,1,1,1,1
4436,1,1,1,1
848,1,1,1,1
2082,1,1,1,1
3734,0,0,0,0
4676,0,0,0,0
1505,0,0,0,0
1649,1,1,1,1
3659,1,0,0,0
5157,1,1,0,1
5844,0,0,0,0
5876,0,0,0,0
4343,1,0,0,0
3632,0,1,0,0
5069,0,0,0,0
2425,0,0,0,0
3398,1,0,0,0
5817,0,0,0,0
3403,1,0,1,1
5209,1,1,0,1
1496,1,1,1,1
6799,1,1,0,1
6781,0,0,0,0
4309,0,0,0,0
3939,0,0,0,0
338,1,0,0,0
7597,0,0,0,0
3727,1,1,0,1
2485,1,1,1,1
5222,0,0,0,0
4701,0,1,1,1
1672,0,0,0,0
560,1,1,1,1
4839,0,0,1,0
6961,0,0,0,0
904,1,1,1,1
3126,0,0,0,0
4297,0,0,0,0
6738,0,0,0,0
3520,0,0,0,0
6116,0,0,0,0
4554,1,1,1,1
2403,0,0,0,0
4970,0,0,0,0
5863,0,0,0,0
190,1,0,1,1
5025,0,0,0,0
1933,1,1,1,1
4530,1,0,1,1
1703,1,0,1,1
2473,0,0,0,0
5980,0,0,0,0
3291,1,1,0,1
5932,0,0,0,0
7333,1,1,1,1
4512,0,0,0,0
5326,0,0,0,0
2116,1,1,1,1
6084,0,0,0,0
2994,1,1,1,1
41,1,1,1,1
2959,1,1,1,1
3668,0,0,0,0
2179,1,1,1,1
6786,0,0,0,0
2643,1,1,1,1
3569,1,1,0,1
6518,0,0,0,0
4509,0,0,0,0
2567,1,1,1,1
6726,0,0,0,0
5108,0,0,0,0
2843,1,1,1,1
1364,1,1,1,1
6124,0,0,0,0
1664,1,1,0,1
4996,0,0,0,0
1655,1,1,1,1
5754,0,0,0,0
5897,0,0,0,0
3808,1,1,0,1
5070,0,0,0,0
4541,0,0,0,0
2157,1,1,1,1
1962,1,1,1,1
2948,1,1,1,1
6756,0,0,0,0
4282,1,0,0,0
7504,0,0,0,0
5186,0,0,0,0
4474,0,0,0,0
7225,0,0,0,0
1289,1,1,1,1
1753,1,1,1,1
1023,1,1,1,1
6117,0,0,0,0
4165,1,0,0,0
7488,0,0,0,0
3,1,1,1,1
444,1,1,1,1
1344,1,1,1,1
6826,1,0,0,0
5889,0,0,0,0
4627,0,0,0,0
4997,0,0,0,0
5880,0,0,0,0
3320,0,0,0,0
2139,1,1,1,1
5448,0,0,0,0
7470,0,0,0,0
1979,1,1,1,1
791,1,1,1,1
6166,0,0,0,0
1323,1,1,1,1
930,1,1,0,1
6986,0,0,0,0
3792,0,0,0,0
6529,0,0,0,0
5868,0,0,0,0
7180,1,1,0,1
6130,0,0,0,0
5900,0,0,0,0
4152,0,0,0,0
1593,1,1,1,1
2662,1,1,1,1
4522,0,0,0,0
2925,1,1,1,1
3402,1,1,1,1
7354,1,0,0,0
5587,0,0,0,0
6034,0,0,0,0
2086,0,0,0,0
4099,0,1,0,0
6744,0,0,0,0
2486,1,1,0,1
5314,0,0,0,0
1934,1,1,1,1
802,1,1,1,1
938,1,1,1,1
1959,1,1,1,1
1670,1,1,1,1
4928,0,0,0,0
7417,0,0,0,0
1044,1,1,1,1
2200,1,0,1,1
5188,0,0,0,0
779,1,0,0,0
4539,0,0,0,0
366,0,0,0,0
1773,1,1,1,1
5419,0,0,0,0
7197,0,0,0,0
4172,0,0,0,0
933,1,1,1,1
1885,1,1,1,1
3806,1,0,1,1
4894,0,0,1,0
3070,1,0,0,0
5543,0,0,0,0
4754,1,0,1,1
7271,0,0,1,0
136,1,1,1,1
3643,0,0,0,0
192,1,1,1,1
5736,0,0,0,0
5881,0,1,0,0
3967,1,0,0,0
2970,1,1,1,1
2264,1,0,0,0
2131,0,0,0,0
2383,0,0,0,0
277,1,1,1,1
5219,1,1,1,1
6065,0,0,0,0
2857,1,1,1,1
4913,0,1,0,0
5178,0,0,0,0
2736,1,1,1,1
1551,1,1,1,1
753,1,1,1,1
4635,0,0,0,0
3732,0,0,0,0
6510,1,0,0,0
1114,1,0,0,0
7281,0,0,0,0
3099,0,0,0,0
6327,0,0,0,0
5514,0,0,0,0
2307,0,0,0,0
6785,1,1,1,1
1609,1,1,1,1
1888,1,1,1,1
220,1,1,1,1
304,1,1,1,1
6031,1,1,1,1
1275,1,0,0,0
6198,0,0,0,0
5210,1,1,0,1
7548,0,0,0,0
4395,0,0,0,0
470,1,1,1,1
4829,0,0,0,0
20,1,1,1,1
2398,1,0,1,1
3597,1,1,0,1
3431,1,1,0,1
3459,1,1,1,1
4053,0,0,0,0
3313,0,0,0,0
3364,0,0,0,0
1048,1,1,1,1
1838,1,1,1,1
5994,0,0,0,0
7437,1,0,0,0
267,1,1,1,1
3140,1,0,0,0
54,1,1,1,1
7394,0,0,0,0
5238,0,0,0,0
2821,1,1,1,1
6599,0,0,0,0
1401,1,1,1,1
3048,1,1,1,1
121,1,1,1,1
4162,0,0,0,0
5495,1,1,1,1
1846,1,1,1,1
4422,1,0,0,0
4503,0,0,0,0
7454,0,0,0,0
1813,1,1,1,1
2789,1,1,1,1
5320,0,0,0,0
1313,1,1,1,1
7194,1,1,1,1
4544,1,0,0,0
2522,1,0,0,0
3125,1,0,0,0
5840,0,0,0,0
3521,0,0,0,0
5666,0,1,0,0
1126,1,0,0,0
820,1,1,0,1
2976,1,1,1,1
1417,1,1,1,1
782,1,1,1,1
6354,0,0,0,0
2891,1,1,1,1
3080,0,0,0,0
5149,0,0,0,0
1296,1,1,1,1
4831,0,0,0,0
3045,1,1,1,1
4042,1,1,1,1
2937,1,0,0,0
7168,0,0,0,0
3557,0,0,0,0
5165,0,0,0,0
3337,1,1,1,1
6342,0,0,0,0
5482,0,0,0,0
4860,0,0,0,0
2240,1,1,0,1
6915,1,1,1,1
6778,0,0,0,0
2416,1,1,1,1
3949,0,0,0,0
4638,1,0,1,1
342,1,1,1,1
4673,0,0,0,0
1249,1,1,1,1
7567,0,0,0,0
5392,0,0,0,0
3885,1,0,0,0
1860,1,1,1,1
5031,0,0,0,0
1046,1,1,1,1
1184,1,1,1,1
952,1,1,1,1
5983,0,0,0,0
3953,1,0,0,0
4416,0,0,0,0
6630,0,0,0,0
6078,0,0,0,0
4995,1,0,0,0
5346,0,0,1,0
1232,1,1,1,1
664,1,0,0,0
2479,1,1,1,1
5218,0,0,0,0
672,1,1,1,1
1849,1,1,1,1
6362,0,0,0,0
6035,0,0,0,0
950,1,1,1,1
3710,1,1,1,1
4793,0,0,0,0
7147,0,0,0,0
994,1,1,1,1
5630,0,0,0,0
1190,0,0,0,0
4844,1,1,1,1
1352,1,1,1,1
5530,0,0,0,0
4418,1,0,0,0
2688,1,1,1,1
1679,1,1,1,1
2298,0,0,0,0
7218,1,0,0,0
3742,1,0,0,0
1130,0,0,0,0
3103,0,0,1,0
4819,1,0,0,0
6276,0,0,0,0
3105,1,0,0,0
5397,0,0,0,0
5970,0,0,0,0
2590,1,1,1,1
4002,1,0,0,0
6119,0,0,0,0
1901,1,0,0,0
5266,0,0,0,0
3145,1,1,1,1
2188,1,1,1,1
5166,0,0,0,0
806,1,1,1,1
213,1,1,1,1
1291,1,1,0,1
2743,1,0,1,1
2272,1,0,0,0
1855,1,1,0,1
5798,0,0,0,0
7377,1,1,0,1
205,1,1,1,1
550,1,1,1,1
2007,1,0,0,0
3219,0,0,0,0
7192,0,0,0,0
5060,0,0,0,0
2668,1,1,1,1
3110,0,0,0,0
3301,1,0,0,0
4911,1,1,1,1
1882,1,1,1,1
6290,1,0,0,0
3409,1,0,0,0
5407,0,0,0,0
2552,1,1,1,1
7246,0,0,0,0
2093,1,1,1,1
359,1,1,0,1
884,0,0,0,0
6771,1,1,1,1
86,1,1,1,1
7029,0,0,0,0
2999,1,1,1,1
695,1,1,1,1
5794,0,0,0,0
1378,1,0,0,0
3002,1,1,1,1
3029,1,0,0,0
2095,1,1,1,1
5950,0,0,0,0
5008,0,0,0,0
2178,1,1,1,1
3733,0,0,0,0
3681,1,0,0,0
3205,1,0,0,0
4346,0,0,0,0
4341,1,0,0,0
6424,0,0,0,0
1710,0,0,0,0
5176,1,1,0,1
3821,0,0,0,0
879,1,1,1,1
658,1,1,1,1
5804,0,0,0,0
4421,0,0,0,0
4227,0,0,0,0
6359,0,0,0,0
3369,1,1,0,1
2279,1,0,0,0
5177,0,0,0,0
6140,0,0,0,0
2767,1,1,1,1
471,1,1,1,1
3158,0,0,0,0
2900,1,1,1,1
3627,0,0,1,0
509,1,1,1,1
2129,1,1,1,1
2339,1,1,1,1
427,1,0,0,0
7313,0,0,0,0
2012,1,0,0,0
703,1,0,0,0
2258,1,1,0,1
6858,0,0,0,0
6540,0,0,0,0
1234,1,1,1,1
7604,0,0,0,0
7160,0,0,0,0
6296,0,0,0,0
4296,0,0,0,0
6943,0,0,0,0
2186,1,1,1,1
7453,0,0,0,0
2585,1,1,1,1
5775,0,0,0,0
364,1,1,1,1
3698,1,1,1,1
2886,1,0,1,1
5752,0,0,0,0
2443,1,0,0,0
6277,0,0,0,0
7044,0,0,0,0
326,1,1,1,1
3547,1,1,1,1
3873,0,0,0,0
6346,0,0,0,0
4670,1,0,0,0
7374,0,0,0,0
1512,1,1,1,1
6908,0,1,0,0
3610,1,0,0,0
7144,0,0,0,0
3553,0,0,0,0
871,1,1,1,1
2875,1,1,1,1
3920,1,1,1,1
3897,1,0,0,0
6958,0,0,0,0
1481,1,1,0,1
3646,1,0,0,0
1191,1,1,1,1
2190,0,0,0,0
4700,0,0,0,0
521,1,0,0,0
4483,0,0,0,0
2639,1,1,1,1
1024,1,1,1,1
7111,1,0,0,0
6258,0,0,0,0
6218,0,0,0,0
132,1,0,0,0
7040,0,0,0,0
7363,1,0,0,0
2812,1,1,1,1
1216,1,1,1,1
282,1,1,1,1
583,1,1,1,1
3514,1,1,0,1
1745,1,0,0,0
1731,1,1,1,1
775,1,1,1,1
5837,0,0,0,0
4602,0,1,1,1
4082,0,0,0,0
3239,1,0,0,0
5882,0,0,0,0
2872,1,1,1,1
3856,0,0,0,0
4692,0,0,0,0
2505,1,1,1,1
3372,1,1,1,1
4922,0,0,0,0
2282,1,0,0,0
6225,0,0,0,0
4083,0,1,0,0
6233,0,0,0,0
4954,0,0,0,0
325,1,1,1,1
6929,0,0,1,0
5109,0,0,0,0
3592,0,0,0,0
2246,1,0,1,1
3591,0,0,0,0
491,1,1,1,1
7264,1,1,1,1
2687,1,0,0,0
4292,0,0,0,0
1578,1,1,1,1
1205,1,1,1,1
3607,0,0,0,0
6365,0,0,0,0
1074,1,1,1,1
1956,1,1,0,1
4438,0,0,0,0
5609,0,0,0,0
3077,1,1,0,1
790,1,1,1,1
4636,0,0,1,0
6485,1,1,1,1
6877,0,0,0,0
6874,0,0,0,0
2771,1,1,1,1
5718,0,0,0,0
4470,1,1,1,1
5965,0,0,0,0
4429,1,0,0,0
2971,1,1,1,1
1543,1,1,1,1
3898,1,1,1,1
4361,0,0,0,0
4034,0,0,0,0
7549,0,0,0,0
462,1,1,1,1
5603,0,0,0,0
1891,0,0,0,0
5895,0,0,0,0
1603,1,1,1,1
5464,0,0,0,0
2629,1,1,1,1
1487,1,0,0,0
1806,1,1,1,1
4371,0,0,0,0
546,0,0,0,0
371,1,1,1,1
2294,1,1,1,1
2006,1,1,1,1
4304,1,0,0,0
2859,1,1,1,1
1692,1,1,1,1
859,0,0,0,0
3438,0,0,0,0
6672,0,0,0,0
6301,1,0,1,1
6154,0,0,0,0
7089,0,0,0,0
6866,1,1,1,1
6743,1,1,0,1
2658,1,1,1,1
1572,0,0,0,0
422,1,0,1,1
1433,1,1,1,1
3774,0,0,0,0
5724,0,0,0,0
2610,1,1,1,1
1852,1,1,1,1
799,1,1,0,1
6181,1,0,0,0
6239,1,1,0,1
6315,1,1,1,1
4786,0,0,0,0
4774,0,0,0,0
4535,0,0,0,0
4564,0,0,0,0
1425,1,1,1,1
2436,0,0,0,0
3611,0,0,0,0
7579,0,0,0,0
5812,0,0,0,0
6859,0,0,0,0
3293,0,0,0,0
4543,0,0,0,0
4151,0,0,0,0
834,1,1,1,1
5626,0,0,0,0
1277,1,1,1,1
7493,0,0,0,0
1809,1,1,1,1
6837,0,0,0,0
2103,0,0,0,0
6113,1,0,0,0
2447,1,1,0,1
4847,1,0,0,0
4607,1,1,1,1
3548,0,0,0,0
984,1,0,1,1
2280,1,0,0,0
1396,1,1,1,1
1109,1,1,1,1
611,1,1,1,1
5059,0,0,0,0
6295,0,0,0,0
1099,1,1,1,1
1483,1,1,1,1
4050,1,0,1,1
6128,0,0,0,0
6289,0,0,0,0
4973,0,0,0,0
6089,0,0,0,0
976,1,1,1,1
3072,1,1,0,1
2135,1,1,1,1
74,1,1,1,1
5858,0,0,0,0
6,0,0,0,0
1535,1,1,1,1
2909,1,1,1,1
2428,0,0,0,0
739,1,1,1,1
2484,1,1,0,1
6398,0,0,0,0
1877,1,1,1,1
7490,0,0,0,0
7038,0,0,0,0
6474,0,0,0,0
3312,1,0,0,0
634,1,0,0,0
1923,1,1,1,1
405,1,1,1,1
728,1,1,1,1
6713,1,0,0,0
4940,0,0,0,0
5713,0,0,0,0
7373,1,1,1,1
3747,0,0,0,0
7285,0,1,1,1
253,1,1,1,1
918,1,1,1,1
5271,1,0,0,0
7522,0,0,0,0
517,1,1,1,1
4477,0,0,0,0
7378,0,0,0,0
2679,1,1,1,1
7222,0,0,0,0
3973,1,1,1,1
3601,1,0,0,0
3743,1,0,0,0
1006,1,1,1,1
4694,0,0,0,0
4547,0,0,0,0
3563,0,0,0,0
3637,0,0,0,0
7619,0,0,0,0
2078,1,1,1,1
186,1,1,1,1
772,0,0,0,0
514,1,1,1,1
476,1,1,1,1
4220,0,0,0,0
4412,1,0,0,0
1339,1,1,1,1
2261,1,0,0,0
4990,0,0,0,0
6179,0,0,0,0
2418,0,0,0,0
5328,1,0,1,1
983,1,1,1,1
4219,0,1,0,0
811,1,1,1,1
2983,1,1,1,1
1376,1,1,1,1
3168,1,1,1,1
6396,0,0,0,0
4514,0,0,0,0
5653,0,0,0,0
7223,0,0,0,0
2509,1,0,0,0
3913,1,1,1,1
7544,0,0,0,0
1673,1,1,1,1
313,1,1,1,1
4630,0,0,0,0
6210,0,0,0,0
1793,1,1,1,1
3511,0,0,0,0
1893,1,1,1,1
4378,0,0,0,0
4761,1,1,1,1
4109,0,0,0,0
6010,0,0,0,0
2638,1,1,1,1
6406,0,0,0,0
1637,1,1,1,1
1012,1,1,1,1
2320,1,1,1,1
6722,1,1,1,1
3333,0,0,0,0
761,0,0,0,0
3019,1,1,1,1
7492,0,0,0,0
920,1,1,1,1
523,1,0,0,0
1913,0,0,0,0
2329,0,0,0,0
1244,1,1,1,1
3494,1,0,0,0
6939,0,0,0,0
174,1,1,1,1
5740,0,0,0,0
4590,0,0,0,0
2752,1,0,1,1
5637,0,0,0,0
244,1,0,0,0
6407,0,0,0,0
5295,0,0,0,0
924,0,0,0,0
5345,0,0,0,0
2143,1,1,1,1
2874,1,1,1,1
5706,1,0,0,0
3357,1,1,1,1
6684,1,0,0,0
4616,1,0,0,0
5749,1,0,1,1
3303,1,0,0,0
865,1,1,0,1
609,1,0,0,0
2920,1,1,1,1
439,1,1,1,1
4279,0,0,0,0
5920,0,0,0,0
2159,1,1,1,1
1681,1,1,1,1
5991,1,0,0,0
6508,1,0,1,1
631,1,1,1,1
6214,1,1,1,1
1491,1,1,1,1
3928,1,1,1,1
4317,0,0,0,0
1974,1,1,1,1
660,1,1,1,1
5697,0,0,0,0
2464,0,0,0,0
3073,0,0,0,0
7565,0,0,0,0
5462,0,0,0,0
4759,0,0,0,0
5936,0,0,0,0
5251,0,0,0,0
764,1,1,1,1
1435,1,1,1,1
135,1,1,1,1
822,0,0,0,0
6456,0,0,0,0
7416,0,0,1,0
4757,0,0,0,0
1354,0,0,0,0
6762,0,0,0,0
6372,0,0,0,0
6470,0,0,0,0
1732,1,1,1,1
5597,0,0,0,0
730,1,1,1,1
322,1,1,1,1
566,1,1,1,1
468,1,1,1,1
5833,0,0,0,0
2499,1,0,1,1
7289,0,0,0,0
6036,0,0,0,0
4709,0,0,0,0
5683,0,0,0,0
7231,0,0,0,0
2074,1,1,0,1
1268,1,0,0,0
6480,0,0,0,0
7359,0,0,0,0
3522,1,0,0,0
5887,0,0,0,0
306,1,1,1,1
3523,1,0,0,0
3321,1,0,1,1
6347,1,1,1,1
2321,1,0,0,0
1707,1,1,0,1
6674,1,1,0,1
2013,1,1,1,1
7056,0,0,0,0
262,1,1,1,1
1958,1,1,1,1
2623,1,1,1,1
5353,0,0,0,0
4204,1,0,0,0
1183,1,1,1,1
1225,1,1,0,1
3191,0,1,1,1
7337,1,0,0,0
3935,0,0,0,0
4846,0,1,1,1
396,1,1,1,1
2817,1,1,1,1
905,1,0,0,0
2390,1,0,0,0
1351,0,0,0,0
7317,0,0,0,0
437,1,1,1,1
3936,0,0,0,0
2260,1,1,1,1
4018,1,1,0,1
803,1,1,1,1
830,1,1,1,1
6776,0,0,0,0
2215,1,1,1,1
3211,0,0,0,0
126,1,1,1,1
7134,1,1,1,1
3311,1,1,0,1
1579,1,1,1,1
386,0,0,0,0
5787,0,0,0,0
785,1,0,1,1
176,0,0,0,0
292,1,1,1,1
1280,1,0,0,0
4927,0,0,0,0
293,1,1,1,1
2265,1,1,1,1
828,0,0,0,0
5289,0,0,0,0
1031,0,0,0,0
946,1,0,0,0
3270,1,0,0,0
4331,0,0,0,0
2565,1,1,1,1
3406,1,0,0,0
6205,0,0,0,0
5085,0,0,0,0
4352,0,0,0,0
605,1,1,1,1
4570,0,0,0,0
1557,1,1,1,1
2476,1,1,1,1
7110,1,0,0,0
2596,1,1,1,1
6451,1,0,0,0
489,1,1,1,1
5537,1,1,0,1
6796,0,0,0,0
7314,1,0,0,0
1399,1,1,1,1
3859,0,0,0,0
1784,1,1,1,1
1950,1,1,1,1
5949,0,0,0,0
4766,0,0,0,0
2429,1,0,0,0
7187,1,1,1,1
2721,1,1,1,1
7324,0,0,0,0
3857,0,0,0,0
7139,0,0,0,0
1231,1,1,1,1
3345,1,1,1,1
3448,0,0,0,0
1663,1,1,1,1
3089,1,0,0,0
6201,1,0,0,0
2719,1,1,0,1
2605,1,1,1,1
99,1,1,1,1
6627,0,0,0,0
4809,1,0,0,0
4016,1,1,1,1
345,1,1,1,1
4253,1,0,0,0
498,1,1,1,1
281,1,1,0,1
5076,1,1,1,1
3041,1,1,0,1
2187,0,0,0,0
4451,0,0,0,0
6235,0,0,0,0
4084,0,0,0,0
2720,1,1,1,1
3190,0,0,0,0
5335,0,0,0,0
7102,0,0,0,0
2,0,0,0,0
6175,0,0,0,0
4424,1,1,1,1
2972,1,1,1,1
567,1,1,1,1
7087,0,0,0,0
7268,0,0,0,0
3977,1,1,1,1
1799,1,1,1,1
1145,1,1,1,1
1489,1,1,1,1
3206,0,0,0,0
5934,0,0,0,0
5853,1,1,1,1
4466,0,0,0,0
3549,1,0,0,0
1294,1,1,1,1
5145,0,0,0,0
1716,1,1,1,1
307,1,1,0,1
721,1,1,1,1
3277,1,1,1,1
6238,0,0,0,0
3924,0,0,0,0
3704,1,1,0,1
5132,1,0,1,1
5546,0,0,0,0
6395,0,0,0,0
3987,1,1,0,1
