tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,tanggal_menjadi_anggota
1965,Sarjana,Menikah,138197975.0,0.0,,84.0,40357.0,214915.0,40670.0,43342.0,4.0,6.0,8.0,0.0,
1960,Sarjana,Menikah,120775062.0,0.0,1.0,56.0,11553.0,27215.0,26688.0,58144.0,1.0,1.0,0.0,0.0,
1982,SMA,Rencana Menikah,,1.0,0.0,54.0,8742.0,26206.0,4231.0,836.0,3.0,2.0,2.0,0.0,
1952,Sarjana,Menikah,156350122.0,0.0,0.0,,328922.0,327271.0,316441.0,119442.0,0.0,8.0,4.0,0.0,
1971,Sarjana,Menikah,43178000.0,1.0,0.0,26.0,0.0,42483.0,16184.0,0.0,2.0,1.0,3.0,0.0,2012-10-06
1952,Sarjana,Rencana Menikah,164315916.0,0.0,0.0,59.0,239427.0,1512830.0,63227.0,90479.0,0.0,1.0,8.0,0.0,
1972,Sarjana,Rencana Menikah,147865210.0,0.0,0.0,57.0,61055.0,287661.0,,28185.0,1.0,3.0,4.0,0.0,
1957,Sarjana,Rencana Menikah,82594000.0,0.0,1.0,17.0,12138.0,42483.0,30345.0,8092.0,2.0,5.0,6.0,0.0,2013-02-11
1958,Doktor,Rencana Menikah,71993939.0,1.0,1.0,51.0,8384.0,23837.0,7230.0,6215.0,4.0,0.0,4.0,0.0,
1944,Magister,Cerai,135614309.0,0.0,1.0,84.0,86568.0,442036.0,9714.0,32368.0,2.0,12.0,3.0,0.0,
1986,Sarjana,Sendiri,80543000.0,1.0,0.0,29.0,,,0.0,0.0,0.0,0.0,2.0,0.0,2014-03-28
1962,Sarjana,,123183000.0,0.0,1.0,73.0,103173.0,285243.0,74851.0,99127.0,,1.0,13.0,0.0,2012-10-06
1961,Sarjana,Menikah,250037882.0,0.0,0.0,60.0,167993.0,2309651.0,118592.0,165088.0,6.0,3.0,5.0,0.0,
1977,SMA,Cerai,82487648.0,1.0,1.0,87.0,8966.0,51693.0,13012.0,9759.0,1.0,0.0,3.0,0.0,
1973,Sarjana,Sendiri,99401995.0,0.0,1.0,21.0,8336.0,50678.0,,0.0,0.0,4.0,2.0,0.0,
1967,SMA,,126562374.0,0.0,0.0,62.0,31146.0,298531.0,84134.0,102742.0,3.0,,6.0,0.0,
1953,SMA,Rencana Menikah,123505578.0,0.0,1.0,41.0,17207.0,345883.0,126329.0,70725.0,3.0,8.0,7.0,0.0,
1984,SMA,Menikah,25228510.0,0.0,0.0,35.0,6882.0,23608.0,22940.0,23608.0,2.0,1.0,1.0,0.0,
1983,Magister,Menikah,90795396.0,1.0,1.0,3.0,992.0,23359.0,24810.0,15878.0,4.0,1.0,1.0,0.0,
1976,SMA,Sendiri,83611000.0,1.0,1.0,29.0,10115.0,26299.0,36414.0,16184.0,4.0,4.0,1.0,0.0,2012-11-10
1962,Sarjana,Menikah,78253666.0,1.0,1.0,61.0,1584.0,13539.0,4484.0,3960.0,1.0,2.0,2.0,,
1964,Sarjana,Sendiri,78159398.0,1.0,0.0,36.0,21026.0,249900.0,3576.0,30018.0,6.0,2.0,5.0,0.0,
1954,Magister,Rencana Menikah,105339251.0,,1.0,58.0,4046.0,154472.0,15851.0,442.0,7.0,9.0,4.0,0.0,
1979,Sarjana,,83776073.0,1.0,0.0,64.0,27027.0,187363.0,7444.0,35038.0,5.0,7.0,5.0,0.0,
1964,Doktor,Sendiri,82406882.0,0.0,1.0,55.0,11245.0,2946.0,9996.0,446.0,3.0,3.0,3.0,0.0,
1976,Sarjana,Sendiri,52426890.0,1.0,0.0,12.0,25470.0,75313.0,,5352.0,0.0,,4.0,,
1977,Sarjana,Rencana Menikah,332884000.0,0.0,0.0,19.0,,3489675.0,0.0,6069.0,0.0,0.0,,0.0,2013-05-02
1968,Doktor,Rencana Menikah,83987000.0,2.0,1.0,41.0,2023.0,14161.0,0.0,0.0,6.0,6.0,5.0,0.0,2013-01-18
1968,Magister,Rencana Menikah,166147411.0,0.0,0.0,78.0,71757.0,632369.0,136287.0,42107.0,2.0,6.0,7.0,0.0,
1970,Magister,Sendiri,122375006.0,0.0,1.0,30.0,15005.0,159437.0,25870.0,,4.0,9.0,7.0,0.0,
1975,SMP,Sendiri,51622455.0,1.0,0.0,28.0,12079.0,25316.0,39202.0,19935.0,1.0,1.0,4.0,0.0,
1956,Magister,Rencana Menikah,190785436.0,,0.0,59.0,77286.0,1082787.0,112601.0,19302.0,0.0,9.0,6.0,0.0,
1975,Doktor,Menikah,,0.0,0.0,65.0,180047.0,1488928.0,145656.0,105196.0,1.0,1.0,7.0,0.0,
1963,Doktor,Sendiri,64574106.0,1.0,1.0,11.0,4116.0,318.0,3939.0,6175.0,2.0,2.0,3.0,0.0,
1954,Magister,Menikah,138435000.0,1.0,1.0,65.0,14161.0,76874.0,0.0,0.0,4.0,9.0,3.0,0.0,2014-01-10
1969,Sarjana,Sendiri,79096299.0,1.0,0.0,114.0,5459.0,15275.0,16413.0,0.0,1.0,5.0,3.0,0.0,
1966,Sarjana,Sendiri,132187000.0,0.0,0.0,61.0,,677705.0,125426.0,196231.0,0.0,3.0,7.0,0.0,2014-03-14
1952,Sarjana,Rencana Menikah,101011758.0,0.0,0.0,73.0,8800.0,186971.0,126869.0,47087.0,1.0,6.0,7.0,0.0,
1959,Sarjana,Rencana Menikah,94350762.0,0.0,0.0,12.0,20049.0,47209.0,0.0,10815.0,2.0,4.0,4.0,0.0,
1962,Magister,Rencana Menikah,132185834.0,0.0,0.0,4.0,235876.0,1105695.0,24860.0,21599.0,3.0,6.0,6.0,,
1956,Sarjana,Rencana Menikah,109732202.0,0.0,1.0,50.0,17277.0,137455.0,11263.0,0.0,4.0,8.0,7.0,0.0,
1978,Sarjana,Menikah,35763513.0,1.0,0.0,73.0,21335.0,13915.0,31205.0,19494.0,2.0,2.0,1.0,0.0,
1991,Sarjana,,127644000.0,1.0,0.0,76.0,125426.0,580601.0,271082.0,78897.0,2.0,2.0,12.0,0.0,2014-02-18
1975,SMA,Sendiri,92900343.0,0.0,1.0,85.0,191186.0,375332.0,366743.0,290826.0,7.0,8.0,4.0,0.0,
1981,SMA,,49661713.0,1.0,0.0,78.0,43582.0,20123.0,7855.0,19520.0,1.0,1.0,1.0,0.0,
1958,Magister,Rencana Menikah,78870292.0,0.0,1.0,51.0,2433.0,11289.0,410.0,2051.0,0.0,2.0,0.0,0.0,
1971,Sarjana,Rencana Menikah,71268246.0,1.0,0.0,15.0,45941.0,80393.0,11647.0,6874.0,4.0,5.0,3.0,0.0,
1946,Doktor,Cerai Mati,111699000.0,,0.0,55.0,82943.0,370209.0,95081.0,40460.0,2.0,10.0,12.0,0.0,2013-07-06
1953,Sarjana,Rencana Menikah,99736302.0,0.0,1.0,80.0,10955.0,125485.0,21910.0,18331.0,0.0,4.0,6.0,0.0,
1954,Sarjana,Rencana Menikah,53300000.0,,1.0,81.0,22253.0,48552.0,,34391.0,3.0,1.0,1.0,0.0,2014-02-27
1971,Magister,Menikah,167128873.0,0.0,0.0,37.0,100058.0,,88576.0,110807.0,1.0,3.0,9.0,0.0,
1983,Doktor,Menikah,166606724.0,0.0,0.0,73.0,42264.0,304765.0,60438.0,52275.0,1.0,6.0,5.0,0.0,
1978,Sarjana,Rencana Menikah,118914700.0,0.0,1.0,55.0,34925.0,179122.0,101958.0,,2.0,9.0,6.0,0.0,
1968,Doktor,,76484000.0,1.0,1.0,61.0,0.0,6069.0,4046.0,0.0,2.0,0.0,4.0,0.0,2014-01-25
1983,Sarjana,Rencana Menikah,110120983.0,1.0,1.0,47.0,9320.0,85109.0,0.0,0.0,4.0,0.0,6.0,0.0,
1977,Sarjana,Sendiri,325514244.0,0.0,0.0,18.0,4206.0,3350256.0,11245.0,7924.0,0.0,0.0,1.0,0.0,
1956,Doktor,Menikah,69285000.0,2.0,1.0,62.0,0.0,76874.0,12138.0,0.0,4.0,4.0,4.0,0.0,2013-07-05
1963,Magister,Rencana Menikah,75668000.0,0.0,0.0,59.0,28322.0,,76874.0,38437.0,2.0,3.0,2.0,0.0,2013-05-08
1956,Doktor,Menikah,158433000.0,1.0,2.0,25.0,12138.0,370209.0,16184.0,46529.0,12.0,9.0,5.0,0.0,2013-03-30
1961,Sarjana,Sendiri,152276450.0,0.0,0.0,20.0,118419.0,390780.0,114113.0,75835.0,2.0,9.0,4.0,0.0,
1973,Magister,Rencana Menikah,165458484.0,0.0,0.0,60.0,282725.0,1520515.0,148755.0,125538.0,,5.0,8.0,0.0,
1968,Sarjana,Cerai,172329809.0,0.0,0.0,20.0,196777.0,774778.0,231114.0,287046.0,,6.0,4.0,0.0,
1979,Sarjana,Menikah,138817313.0,0.0,0.0,6.0,44506.0,931955.0,256516.0,60244.0,0.0,6.0,8.0,0.0,
1962,SMA,Rencana Menikah,110928081.0,0.0,1.0,77.0,10634.0,46775.0,2815.0,1585.0,4.0,5.0,5.0,0.0,
1974,Magister,Menikah,151599910.0,0.0,0.0,22.0,28441.0,514556.0,44208.0,25168.0,1.0,3.0,8.0,0.0,
1971,Sarjana,Rencana Menikah,111202436.0,0.0,1.0,50.0,83817.0,382409.0,81305.0,235977.0,3.0,5.0,4.0,0.0,
1975,Magister,,164601983.0,0.0,0.0,,66647.0,,102878.0,121044.0,0.0,5.0,7.0,0.0,
1947,SMA,Cerai,151115234.0,0.0,0.0,55.0,144766.0,1192829.0,258158.0,197764.0,2.0,7.0,10.0,0.0,
1980,Magister,Menikah,105661000.0,0.0,0.0,77.0,32368.0,311542.0,139587.0,72828.0,0.0,6.0,5.0,0.0,2014-06-11
1958,Sarjana,Menikah,118634453.0,0.0,1.0,11.0,13677.0,112716.0,14951.0,747.0,1.0,9.0,3.0,0.0,
1983,Sarjana,,84414440.0,0.0,0.0,32.0,85187.0,322101.0,104424.0,72718.0,1.0,6.0,7.0,0.0,
1954,Magister,,100020844.0,0.0,0.0,75.0,24486.0,236354.0,17838.0,579.0,4.0,9.0,2.0,0.0,
1964,Magister,Rencana Menikah,95020110.0,0.0,1.0,76.0,14152.0,149547.0,16167.0,14152.0,5.0,5.0,4.0,0.0,
1958,Sarjana,Cerai,170112112.0,0.0,0.0,69.0,108681.0,1798060.0,133865.0,202370.0,0.0,4.0,4.0,0.0,
1954,Sarjana,Menikah,136676591.0,0.0,1.0,87.0,196142.0,,122599.0,159239.0,3.0,11.0,5.0,0.0,
1959,Magister,Menikah,165583000.0,0.0,0.0,43.0,291312.0,236691.0,449106.0,295358.0,0.0,3.0,9.0,0.0,2013-03-31
1966,Sarjana,,187041788.0,0.0,0.0,31.0,166150.0,1632669.0,312792.0,145162.0,2.0,4.0,4.0,0.0,
1968,Sarjana,Sendiri,99416000.0,1.0,1.0,23.0,10115.0,109242.0,0.0,18207.0,6.0,7.0,2.0,0.0,2012-11-06
1962,Sarjana,Sendiri,152559603.0,0.0,0.0,11.0,131624.0,,154939.0,47797.0,1.0,10.0,5.0,0.0,
1968,Sarjana,Rencana Menikah,100686641.0,0.0,1.0,,14524.0,63666.0,42277.0,18320.0,1.0,4.0,2.0,0.0,
1963,Sarjana,Rencana Menikah,100590412.0,0.0,0.0,37.0,81662.0,322074.0,104473.0,73912.0,0.0,4.0,4.0,0.0,
1955,Magister,Menikah,118505331.0,0.0,0.0,51.0,22599.0,232181.0,8930.0,26530.0,1.0,8.0,5.0,0.0,
1989,Sarjana,Sendiri,66130082.0,1.0,0.0,69.0,5984.0,22674.0,674.0,6153.0,0.0,3.0,4.0,,
1962,Magister,Sendiri,96015401.0,0.0,1.0,85.0,7496.0,87307.0,19999.0,,6.0,6.0,4.0,0.0,
1972,Sarjana,Sendiri,150691555.0,0.0,0.0,44.0,43367.0,962041.0,239127.0,300586.0,0.0,6.0,6.0,0.0,
1959,Sarjana,Menikah,155631886.0,0.0,0.0,9.0,149206.0,784383.0,236771.0,155275.0,0.0,7.0,7.0,0.0,
1945,Magister,Menikah,95801738.0,0.0,0.0,57.0,35153.0,337812.0,252334.0,73641.0,4.0,8.0,4.0,0.0,
1982,,Menikah,34735069.0,1.0,0.0,66.0,19423.0,16366.0,30862.0,21553.0,3.0,3.0,1.0,0.0,
1961,Magister,Menikah,141683052.0,0.0,1.0,68.0,11584.0,115620.0,74338.0,14429.0,0.0,2.0,6.0,0.0,
1956,Sarjana,Sendiri,186517250.0,0.0,0.0,79.0,66727.0,930153.0,199478.0,166588.0,0.0,3.0,5.0,0.0,
1959,Sarjana,Rencana Menikah,137776917.0,0.0,1.0,99.0,17595.0,97809.0,25293.0,17989.0,3.0,5.0,5.0,0.0,
1977,Doktor,Menikah,73210000.0,1.0,0.0,41.0,6069.0,2023.0,,0.0,0.0,0.0,3.0,0.0,2013-04-14
1948,Doktor,Rencana Menikah,169054227.0,0.0,0.0,39.0,116173.0,647501.0,107283.0,65110.0,0.0,4.0,11.0,0.0,
1960,Sarjana,Sendiri,153914231.0,0.0,1.0,59.0,65865.0,541876.0,285820.0,240938.0,2.0,8.0,5.0,0.0,
1953,Sarjana,Cerai,55120000.0,2.0,,55.0,4046.0,26299.0,0.0,6069.0,1.0,2.0,1.0,0.0,2013-03-12
1957,SMA,Rencana Menikah,,0.0,1.0,30.0,15143.0,61788.0,4104.0,0.0,4.0,5.0,8.0,0.0,
1991,SMA,Sendiri,44972925.0,1.0,0.0,4.0,28043.0,58171.0,32863.0,10115.0,2.0,1.0,0.0,0.0,
1972,Sarjana,Sendiri,159340609.0,0.0,0.0,44.0,44551.0,1241015.0,163565.0,127410.0,0.0,5.0,10.0,,
1968,Doktor,Sendiri,107853965.0,0.0,1.0,46.0,13202.0,2386.0,15496.0,7122.0,1.0,1.0,5.0,0.0,
1963,,Sendiri,77222296.0,1.0,0.0,44.0,17793.0,159679.0,46889.0,31245.0,4.0,3.0,5.0,0.0,
1956,Magister,Menikah,78187272.0,,0.0,31.0,6069.0,25887.0,4937.0,7406.0,4.0,1.0,0.0,0.0,
1960,Magister,,151001613.0,1.0,1.0,46.0,157641.0,548208.0,72815.0,45385.0,1.0,6.0,11.0,0.0,
1990,Sarjana,Menikah,74773000.0,1.0,0.0,33.0,6069.0,84966.0,30345.0,32368.0,0.0,0.0,5.0,0.0,2013-05-31
1979,SMP,,53711000.0,1.0,0.0,27.0,18207.0,18207.0,28322.0,22253.0,3.0,5.0,3.0,0.0,2013-05-17
1968,Sarjana,Rencana Menikah,150473963.0,,,17.0,202080.0,1507082.0,217324.0,208781.0,2.0,8.0,5.0,0.0,
1951,Sarjana,Sendiri,84552000.0,1.0,1.0,25.0,2023.0,,16184.0,22253.0,3.0,5.0,3.0,0.0,2013-05-08
1964,Doktor,Menikah,112009967.0,1.0,1.0,66.0,0.0,187620.0,8264.0,20600.0,5.0,5.0,4.0,0.0,
1978,Doktor,Menikah,160258000.0,0.0,1.0,61.0,145656.0,900235.0,141610.0,143633.0,2.0,14.0,9.0,0.0,2012-09-13
1964,Sarjana,Menikah,83176426.0,1.0,0.0,60.0,11091.0,265782.0,325.0,43854.0,8.0,6.0,5.0,0.0,
1961,Sarjana,Sendiri,139305348.0,0.0,0.0,33.0,65394.0,1023160.0,120740.0,106967.0,,2.0,4.0,0.0,
1972,Sarjana,Cerai,155985520.0,0.0,0.0,28.0,159607.0,1035946.0,388094.0,139224.0,0.0,6.0,3.0,0.0,
1968,Magister,Rencana Menikah,130826000.0,0.0,1.0,19.0,86989.0,208369.0,0.0,86989.0,2.0,7.0,9.0,0.0,2013-09-12
1968,Sarjana,Rencana Menikah,100675324.0,0.0,1.0,45.0,14493.0,63468.0,,18252.0,1.0,4.0,2.0,,
1967,Sarjana,Rencana Menikah,130849980.0,0.0,0.0,22.0,94547.0,213767.0,2468.0,87297.0,1.0,7.0,9.0,0.0,
1976,Sarjana,Menikah,,0.0,,66.0,115311.0,1145018.0,226576.0,260967.0,2.0,6.0,7.0,0.0,2014-05-14
1959,SMA,Menikah,132101556.0,0.0,0.0,31.0,62058.0,1077637.0,13923.0,69436.0,3.0,7.0,11.0,0.0,
1977,Doktor,Rencana Menikah,136519717.0,0.0,0.0,61.0,92790.0,796908.0,,97699.0,0.0,4.0,6.0,0.0,
1970,Magister,Sendiri,147621673.0,0.0,0.0,5.0,65867.0,1080727.0,160208.0,77852.0,1.0,2.0,7.0,0.0,
1970,Doktor,Menikah,73974000.0,1.0,,8.0,2023.0,42483.0,2023.0,0.0,3.0,0.0,5.0,0.0,2014-05-09
1966,Sarjana,Menikah,157618142.0,0.0,0.0,46.0,101317.0,1285118.0,308054.0,210755.0,0.0,5.0,3.0,0.0,
1963,Sarjana,Sendiri,,0.0,1.0,14.0,15436.0,112814.0,,20120.0,0.0,8.0,5.0,0.0,
1978,Sarjana,Menikah,53439000.0,0.0,0.0,4.0,20230.0,12138.0,0.0,26299.0,3.0,4.0,2.0,0.0,2013-10-15
1977,Sarjana,Rencana Menikah,90462000.0,1.0,1.0,,16184.0,153748.0,18207.0,26299.0,4.0,2.0,6.0,0.0,2013-09-06
1988,SMA,Sendiri,133930462.0,0.0,0.0,100.0,45677.0,,148530.0,252312.0,0.0,4.0,13.0,0.0,
1967,Sarjana,Rencana Menikah,,1.0,1.0,22.0,4046.0,12138.0,0.0,0.0,2.0,1.0,,0.0,2012-12-10
1965,Sarjana,Rencana Menikah,117218962.0,0.0,1.0,91.0,52718.0,135596.0,5676.0,270147.0,2.0,5.0,4.0,0.0,
1949,Magister,Rencana Menikah,106485013.0,0.0,0.0,45.0,26540.0,175517.0,44813.0,6134.0,5.0,9.0,4.0,0.0,
1981,Sarjana,,165484920.0,,0.0,49.0,44466.0,589248.0,41555.0,,2.0,6.0,6.0,0.0,
1954,Magister,Rencana Menikah,100016000.0,0.0,1.0,76.0,24276.0,234668.0,18207.0,0.0,4.0,9.0,3.0,0.0,2013-04-13
1972,Magister,Rencana Menikah,,0.0,1.0,85.0,55231.0,475405.0,36006.0,,1.0,10.0,4.0,0.0,
1968,Magister,Rencana Menikah,60714702.0,1.0,0.0,47.0,7978.0,20164.0,8092.0,5729.0,1.0,0.0,2.0,0.0,
1962,Doktor,Sendiri,93716717.0,0.0,0.0,73.0,6859.0,232514.0,,34311.0,5.0,,5.0,0.0,
1975,SMA,Menikah,90783000.0,1.0,0.0,15.0,6069.0,50575.0,4046.0,10115.0,0.0,4.0,,0.0,2014-03-17
1956,Sarjana,Rencana Menikah,143621539.0,0.0,0.0,37.0,248704.0,1414876.0,243010.0,68915.0,1.0,2.0,7.0,0.0,
1986,Sarjana,Sendiri,37785929.0,0.0,0.0,0.0,9052.0,6639.0,11171.0,480.0,0.0,0.0,2.0,0.0,
1967,Sarjana,Rencana Menikah,77945216.0,1.0,0.0,31.0,10427.0,60790.0,21657.0,20053.0,2.0,1.0,3.0,0.0,
1978,Sarjana,Sendiri,69620000.0,,0.0,87.0,0.0,265013.0,44506.0,14161.0,4.0,6.0,4.0,0.0,2013-08-08
1985,Magister,Rencana Menikah,76253108.0,0.0,0.0,29.0,56648.0,,95760.0,40913.0,2.0,2.0,,0.0,
1947,Magister,Rencana Menikah,96162805.0,0.0,0.0,29.0,16208.0,436266.0,187553.0,95056.0,4.0,10.0,6.0,0.0,
1974,SMA,Menikah,69996000.0,2.0,1.0,91.0,10115.0,176001.0,34391.0,6069.0,6.0,5.0,4.0,0.0,2012-08-19
1974,Sarjana,Menikah,150177000.0,0.0,1.0,54.0,68782.0,851683.0,4046.0,228599.0,5.0,2.0,9.0,0.0,2013-01-16
1983,Magister,Sendiri,76305634.0,1.0,0.0,23.0,3991.0,231863.0,33928.0,0.0,3.0,,5.0,0.0,
1972,Doktor,Rencana Menikah,163530886.0,0.0,1.0,84.0,,628626.0,94315.0,72062.0,2.0,5.0,2.0,0.0,
1950,Sarjana,Sendiri,150674000.0,0.0,0.0,92.0,74851.0,621061.0,91035.0,36414.0,2.0,0.0,4.0,0.0,2014-05-23
1943,Magister,Menikah,117633534.0,0.0,0.0,77.0,22854.0,261101.0,7807.0,9939.0,1.0,8.0,4.0,0.0,
1954,Sarjana,Rencana Menikah,175731468.0,0.0,0.0,52.0,59719.0,816579.0,145350.0,84246.0,2.0,2.0,11.0,,
1970,SMP,Menikah,28403856.0,0.0,,30.0,9353.0,25537.0,30789.0,,0.0,1.0,3.0,0.0,
1980,Sarjana,Rencana Menikah,82706000.0,1.0,0.0,,0.0,24276.0,0.0,0.0,3.0,6.0,3.0,0.0,2013-03-29
1962,SMA,Rencana Menikah,139695313.0,0.0,0.0,,188671.0,430484.0,215884.0,255172.0,0.0,7.0,5.0,0.0,
1979,Sarjana,Rencana Menikah,81443459.0,0.0,,49.0,5435.0,23765.0,0.0,0.0,1.0,0.0,1.0,0.0,
1962,Magister,Menikah,125052648.0,,0.0,96.0,440.0,62906.0,793.0,1057.0,0.0,8.0,7.0,0.0,
1969,Sarjana,Rencana Menikah,46027147.0,1.0,0.0,,7202.0,623.0,29656.0,488.0,4.0,1.0,5.0,0.0,
1986,Sarjana,Sendiri,84418201.0,1.0,0.0,35.0,26447.0,,33174.0,16332.0,2.0,4.0,5.0,0.0,
1988,Magister,Rencana Menikah,158979947.0,0.0,0.0,41.0,84273.0,961653.0,39056.0,76347.0,2.0,3.0,13.0,,
1975,Magister,Menikah,172672956.0,0.0,,56.0,108839.0,576855.0,96800.0,,0.0,6.0,9.0,0.0,
1963,Sarjana,Rencana Menikah,93879755.0,0.0,0.0,75.0,136290.0,399098.0,367200.0,234660.0,6.0,8.0,4.0,0.0,
1973,SMP,Menikah,32094051.0,1.0,0.0,67.0,3061.0,8026.0,37409.0,94950.0,,0.0,3.0,0.0,
1985,Magister,Rencana Menikah,174564497.0,0.0,0.0,45.0,56107.0,576949.0,30962.0,37282.0,0.0,7.0,8.0,0.0,
1966,Magister,Menikah,161546000.0,0.0,0.0,79.0,16184.0,475405.0,42483.0,131495.0,3.0,6.0,8.0,0.0,2014-06-27
1980,Sarjana,Rencana Menikah,,0.0,0.0,7.0,,36475.0,22978.0,34337.0,1.0,3.0,0.0,0.0,
1954,Sarjana,Sendiri,112574000.0,0.0,0.0,54.0,173978.0,1100512.0,356048.0,178024.0,2.0,10.0,5.0,0.0,2012-09-06
1970,Sarjana,Menikah,117868427.0,0.0,1.0,54.0,149158.0,763888.0,204645.0,68077.0,4.0,8.0,7.0,,
1970,Sarjana,Sendiri,80277238.0,1.0,0.0,20.0,2586.0,162286.0,10540.0,26436.0,3.0,4.0,1.0,0.0,
1985,SMA,Menikah,57418429.0,1.0,0.0,9.0,1357.0,33087.0,0.0,14174.0,0.0,0.0,4.0,0.0,
1967,Sarjana,Sendiri,124377680.0,0.0,0.0,73.0,104647.0,356215.0,95582.0,29154.0,0.0,6.0,8.0,0.0,
1990,SMP,Menikah,33581395.0,1.0,0.0,28.0,5933.0,22498.0,21050.0,25232.0,3.0,,1.0,0.0,
1974,Magister,,84658895.0,,0.0,23.0,102022.0,365145.0,113683.0,87252.0,1.0,3.0,9.0,0.0,
1952,Sarjana,Rencana Menikah,176266000.0,,0.0,67.0,220507.0,1561756.0,56644.0,402577.0,3.0,4.0,8.0,,2013-09-02
1973,Sarjana,Menikah,100016000.0,1.0,1.0,39.0,6069.0,86989.0,18207.0,28322.0,6.0,4.0,5.0,0.0,2013-02-19
1981,Doktor,Rencana Menikah,,1.0,0.0,61.0,2023.0,105196.0,0.0,12138.0,1.0,7.0,4.0,0.0,2013-02-10
1948,Sarjana,Menikah,161540000.0,0.0,0.0,48.0,145656.0,333795.0,64736.0,311542.0,0.0,1.0,6.0,0.0,2013-05-26
1973,Sarjana,Sendiri,92943218.0,0.0,1.0,82.0,102679.0,275319.0,204775.0,158065.0,6.0,6.0,4.0,0.0,
1963,Magister,Sendiri,153901755.0,0.0,0.0,72.0,49782.0,585569.0,342634.0,251434.0,2.0,7.0,3.0,0.0,
1960,Sarjana,Sendiri,166436621.0,0.0,0.0,79.0,110395.0,1925326.0,110230.0,184160.0,0.0,4.0,11.0,0.0,
1947,Sarjana,Rencana Menikah,65483000.0,1.0,1.0,17.0,14161.0,32368.0,22253.0,22253.0,,0.0,1.0,0.0,2013-08-08
1949,Sarjana,Sendiri,97545000.0,,1.0,0.0,4046.0,24276.0,0.0,6069.0,4.0,0.0,1.0,0.0,2014-03-03
1949,Sarjana,Cerai,88614000.0,0.0,1.0,89.0,14161.0,74851.0,38437.0,2023.0,3.0,12.0,,0.0,2013-04-07
